Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
INTU,218.39,-49.85,-11.3,5.89,37.03,127.75%,50.55%,Computers and Technology,58667336000,58.67,2.12,187.68,3/23/2020,306.89,218.12,14.06,28.84,Basic Materials
IP,29.37,-7.69,-1.25,4.44,6.79,-45.84%,-5.25%,Basic Materials,11951695000,11.95,2.05,26.38,3/23/2020,47.96,30.15,10.18,38.76,Business Services
IPG,13.58,-7.63,-1.63,1.94,7.49,-34.11%,35.61%,Business Services,5573031000,5.57,1.02,11.63,3/23/2020,25.2,14.54,14.36,46.11,Computers and Technology
IPGP,102.74,-25.01,-6.29,4.43,23.88,4.47%,70.76%,Computers and Technology,5460831000,5.46,0,98.04,3/16/2020,182.17,105.8,4.57,43.6,Business Services
IQV,102.72,-38.64,-4.42,5.81,17.22,54.93%,103.08%,Business Services,20153280000,20.15,0,81.79,3/18/2020,169.14,100.04,20.38,39.27,Industrial Products
IR,23.49,-8.21,0.86,0.76,31.3,0.00%,-4.60%,Industrial Products,4728085000,4.73,0,17.01,3/18/2020,38.96,23.79,27.59,39.71,Finance
IRM,22.06,-9.35,-2.31,0.85,9.7,-42.10%,36.72%,Finance,6183621000,6.18,2.47,21,4/2/2020,36.65,22.22,4.81,39.81,Medical
ISRG,462.47,-95.8,-27.94,11.55,39.68,164.57%,110.09%,Medical,54606312000,54.61,0,360.5,3/23/2020,619,458.26,22.05,25.29,Business Services
IT,91.82,-34.02,-12.97,3.91,23.86,11.15%,110.01%,Business Services,8384403000,8.38,0,76.91,3/18/2020,171.77,93.29,16.24,46.54,Industrial Products
ITW,140.41,-28.45,-2.89,7.73,17.76,45.17%,-2.59%,Industrial Products,44960552000,44.96,4.28,115.94,3/23/2020,190.85,137.27,17.43,26.43,Finance
IVZ,7.81,-6.48,-1.56,2.55,3.14,-79.45%,18.85%,Finance,3726981000,3.73,1.24,7.38,3/23/2020,22.18,8.01,5.51,64.79,Industrial Products
J,78.97,-18.63,4.09,5.27,15.03,74.21%,0.34%,Industrial Products,10800999000,10.8,0.76,59.29,3/23/2020,104,79.22,24.92,24.07,Transportation
JBHT,89.76,-4.78,-0.3,5.21,17.37,3.66%,48.66%,Transportation,9656818000,9.66,1.08,75.29,3/16/2020,122.29,90.5,16.12,26.6,Industrial Products
JCI,25.47,-11.98,-0.47,2.15,11.7,-40.05%,131.80%,Industrial Products,19903424000,19.9,1.04,22.77,3/23/2020,44.82,25.16,10.6,43.17,Computers and Technology
JKHY,156.21,-1.58,7.18,3.66,40.19,122.20%,28.32%,Computers and Technology,11596996000,11.6,1.72,123.64,3/23/2020,174.93,147.08,20.85,10.7,Medical
JNJ,134.17,-1.42,11.01,8.68,14.84,30.46%,10.40%,Medical,3.5103E+11,351.03,3.8,109.16,3/23/2020,154.5,128.81,18.64,13.16,Computers and Technology
JNPR,20.11,-1.68,0.17,1.24,15.5,-17.29%,-3.93%,Computers and Technology,6498161000,6.5,0.8,15.2,3/16/2020,28.77,19.22,24.42,30.1,Finance
JPM,84.05,-32.91,-7.08,10.49,8.04,41.83%,39.49%,Finance,2.69004E+11,269,3.6,76.91,3/19/2020,141.1,84.36,8.49,40.43,Retail-Wholesale
JWN,13.05,-20.39,-2.96,3.36,3.96,-83.57%,14.94%,Retail-Wholesale,2060640000,2.06,0,12.27,4/3/2020,46.2,13.29,5.98,71.75,Consumer Staples
K,63.58,0.93,4.11,3.94,15.51,-6.71%,-6.87%,Consumer Staples,21002038000,21,2.28,51.34,5/31/2019,71.05,61.09,19.25,10.51,Finance
KEY,9.07,-7.14,-2.13,1.8,5.25,-32.57%,76.83%,Finance,9194557000,9.19,0.74,7.45,3/19/2020,20.52,9.45,17.86,55.8,Computers and Technology
KEYS,82.52,-10.99,4.24,4.61,17.55,126.05%,46.71%,Computers and Technology,15694332000,15.69,0,71.03,5/29/2019,110,80.89,13.92,24.98,Consumer Staples
KHC,25.32,-0.18,1.08,2.19,0,-72.40%,37.20%,Consumer Staples,30095296000,30.1,1.6,19.99,3/16/2020,33.78,23.68,21.05,25.04,Finance
KIM,7.77,-9.99,-2.63,0.8,5.65,-70.09%,16.60%,Finance,3351945000,3.35,1.12,7.45,4/2/2020,21.86,8.3,4.12,64.46,Computers and Technology
KLAC,127.94,-25.87,-14.3,8.72,15.09,124.02%,55.97%,Computers and Technology,20762884000,20.76,3.4,101.34,6/3/2019,184.5,131.61,20.79,30.66,Consumer Staples
KMB,129.92,-10.87,5.03,6.88,18.26,20.98%,-6.46%,Consumer Staples,44143948000,44.14,4.28,110.66,3/24/2020,149.23,125.66,14.82,12.94,Oils-Energy
