Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
NEM,47.15,-2.58,0.8,1.31,35.47,115.99%,33.57%,Basic Materials,38959616000,38.96,0.56,29.77,5/10/2019,52.49,46.47,36.86,10.17,Consumer Discretionary
NFLX,361.76,-7.01,4.64,4.13,88.15,469.89%,266.17%,Consumer Discretionary,1.62394E+11,162.39,0,252.28,9/24/2019,393.52,364.08,30.26,8.07,Utilities
NI,22.49,-5.89,-2.27,1.32,17.47,36.24%,-19.50%,Utilities,8979358000,8.98,0.84,19.56,3/16/2020,30.67,23.06,13.03,26.67,Consumer Staples
NKE,78.86,-12.07,-4.37,2.96,26.77,60.33%,40.71%,Consumer Staples,1.24808E+11,124.81,0.98,60,3/18/2020,105.62,79.23,23.92,25.34,Industrial Products
NLOK,18.29,-1,-0.64,0.97,19.34,-27.80%,-29.13%,Industrial Products,11089092000,11.09,0.5,15.12,3/18/2020,28.7,18.76,17.33,36.27,Business Services
NLSN,12.17,-5.41,-0.83,1.67,7.1,-73.24%,3.34%,Business Services,4386903000,4.39,0.24,11.62,4/2/2020,27.28,11.85,4.52,55.39,Aerospace
NOC,313.61,-15.77,1.46,21.22,14.47,90.08%,41.13%,Aerospace,52686632000,52.69,5.28,263.31,3/23/2020,385.01,306.99,16.04,18.54,Oils-Energy
NOV,9.85,-9.29,-0.21,-0.72,0,-81.52%,-60.45%,Oils-Energy,3882627000,3.88,0.2,8,3/18/2020,29.37,9.35,18.78,66.46,Computers and Technology
NOW,249.57,-80.06,-24.43,0.57,479.07,214.55%,406.98%,Computers and Technology,49158200000,49.16,0,213.99,10/23/2019,362.95,273.07,14.26,31.24,Utilities
NRG,26.21,-7.09,-3.34,3.46,7.76,13.11%,-38.11%,Utilities,6962563000,6.96,1.2,19.54,3/18/2020,42.8,26.84,25.45,38.76,Transportation
ACN,152.15,-30.07,-10.73,7.67,20.17,65.03%,35.58%,Business Services,99336464000,99.34,3.2,137.15,3/23/2020,216.39,154.68,9.86,29.69,Business Services
NTAP,37.34,-8.57,-2.89,3.58,11.18,11.45%,-2.83%,Computers and Technology,8743127000,8.74,1.92,34.66,3/23/2020,78.35,40.01,7.18,52.34,Finance
NTRS,77.03,-6.41,3.05,6.62,11.03,8.55%,52.80%,Finance,16096816000,16.1,2.8,60.67,3/23/2020,110.48,73,21.24,30.28,Basic Materials
NUE,35.65,-6.22,2.29,4.23,8.49,-25.47%,7.03%,Basic Materials,10817940000,10.82,1.61,27.52,3/18/2020,61.17,35.9,22.81,41.72,Computers and Technology
NVDA,243.91,-21.98,-8.82,4.58,53.07,1022.45%,133.22%,Computers and Technology,1.56472E+11,156.47,0.64,132.6,6/3/2019,316.32,243.07,45.64,22.89,Construction
NVR,2362.94,-1480.9,-508.68,221.25,10.89,76.23%,66.24%,Construction,8740425000,8.74,0,2043.01,3/18/2020,4071.13,2410,13.54,41.96,Consumer Staples
NWL,11.99,-3.48,-1.62,1.74,7.12,-69.86%,69.63%,Consumer Staples,5111645000,5.11,0.92,10.44,3/23/2020,20.99,12.39,12.93,42.88,Consumer Discretionary
NWS,8.24,-3.85,-0.18,0.33,26.03,-48.06%,17.49%,Consumer Discretionary,4806125000,4.81,0.2,7.88,4/2/2020,15.36,8.59,4.37,46.35,Consumer Discretionary
NWSA,8.18,-3.65,-0.35,0.33,26.18,-48.49%,17.49%,Consumer Discretionary,4823773000,4.82,0.2,7.9,4/2/2020,15.07,8.64,3.42,45.72,Finance
O,43.6,-31,-13.3,1.4,13.95,-7.86%,59.78%,Finance,15634065000,15.63,2.8,38,3/19/2020,84.92,46.47,12.84,48.66,Transportation
ODFL,122.51,-6.96,-5.82,5.1,23.99,158.27%,47.39%,Transportation,14848807000,14.85,0.61,87.25,6/3/2019,151.47,122.33,28.78,19.12,Utilities
OKE,21.64,-46.61,0.7,3.07,6.25,-55.17%,-16.65%,Utilities,8940090000,8.94,3.74,12.16,3/18/2020,78.48,19.2,43.81,72.43,Business Services
OMC,49.59,-19.6,-2.39,6.06,8.53,-33.72%,-2.38%,Business Services,11300991000,11.3,2.6,46.37,3/23/2020,85.05,51.67,6.49,41.69,Computers and Technology
ORCL,49.4,0.55,-0.43,3.47,14.04,14.46%,3.22%,Computers and Technology,1.57048E+11,157.05,0.96,39.71,3/12/2020,60.5,48.71,19.62,18.35,Retail-Wholesale
ORLY,295.38,-68.79,-18.05,17.89,16.06,37.94%,40.66%,Retail-Wholesale,22534736000,22.53,0,251.51,3/23/2020,454.31,287.25,14.85,34.98,Oils-Energy
OXY,13,-19.99,1.39,1.62,6.63,-83.72%,5.60%,Oils-Energy,11432023000,11.43,3.16,9,3/18/2020,68.83,10.74,30.77,81.11,Computers and Technology
PAYC,165.01,-117.29,-43.93,2.94,63.76,470.54%,388.75%,Computers and Technology,10666426000,10.67,0,163.42,4/3/2020,342,187.44,0.96,51.75,Business Services
PAYX,59.55,-19.51,-0.62,3.01,20.13,23.84%,49.77%,Business Services,21892376000,21.89,2.48,47.87,3/18/2020,90.54,60.6,19.61,34.23,Finance
PBCT,9.51,-4.99,-2.07,1.38,7.48,-32.38%,67.38%,Finance,4419801000,4.42,0.71,9.37,4/3/2020,17.66,10.32,1.47,46.15,Auto-Tires-Trucks
PCAR,61.61,-5.94,2.12,6.87,8.75,-3.75%,34.76%,Auto-Tires-Trucks,21084880000,21.08,1.28,49.11,3/23/2020,83.41,60.12,20.29,26.14,Finance
PEAK,20.29,-12.94,-4.74,0.1,12.1,-52.13%,-11.87%,Finance,10319949000,10.32,1.48,18.63,3/18/2020,37.93,21.29,8.18,46.51,Utilities
PEG,44.36,-8.69,-0.12,3.28,13.05,8.66%,-7.44%,Utilities,22872150000,22.87,1.96,34.75,3/23/2020,63.88,42.79,21.66,30.56,Consumer Staples
PEP,124.59,-10.99,4.13,5.52,21.4,28.75%,0.72%,Consumer Staples,1.72109E+11,172.11,3.82,101.42,3/20/2020,147.2,118.12,18.6,15.36,Medical
PFE,33.64,-0.66,2.74,2.95,10.76,-7.25%,4.32%,Medical,1.82351E+11,182.35,1.52,27.88,3/23/2020,44.56,31.75,17.12,24.51,Finance
PFG,26.41,-18.34,-6.19,5.59,4.9,-47.10%,54.83%,Finance,7306701000,7.31,2.24,23.31,3/23/2020,60.81,27.4,11.74,56.57,Consumer Staples
PG,115.08,-3.09,4.91,4.95,22.09,37.25%,-18.51%,Consumer Staples,2.82505E+11,282.51,2.98,94.34,3/23/2020,128.09,109.33,18.02,10.16,Finance
PGR,75.94,-1.3,2.4,6.72,10.77,184.61%,101.24%,Finance,44807048000,44.81,0.4,62.18,3/23/2020,84.96,72.36,18.12,10.62,Industrial Products
PH,115.81,-70.7,-5.47,11.78,9.85,-1.40%,8.36%,Industrial Products,15254659000,15.25,3.52,93,3/18/2020,215.94,116.09,19.7,46.37,Construction
PHM,18.92,-23.27,-5.6,3.6,5.78,-11.34%,75.41%,Construction,5342806000,5.34,0.48,17.12,3/23/2020,47.37,20.8,9.51,60.06,Industrial Products
PKG,80.51,-10.39,-5.58,7.65,10.97,6.62%,18.99%,Industrial Products,7963605000,7.96,3.16,71.05,3/12/2020,114.78,83.9,11.75,29.86,Computers and Technology
PKI,71.2,-15.02,-3.6,4.1,17.28,40.30%,28.90%,Computers and Technology,8048392000,8.05,0.28,62.91,3/23/2020,103,70.83,11.64,30.87,Finance
PLD,73.59,-15.8,-5.58,2.47,22.13,77.71%,89.15%,Finance,55808688000,55.81,2.32,59.82,3/23/2020,99.79,73.26,18.71,26.26,Consumer Staples
PM,73.46,-10.04,4.31,5.2,13.68,-4.57%,-62.79%,Consumer Staples,1.15755E+11,115.76,4.68,56.01,3/23/2020,90.17,71.12,23.75,18.53,Finance
PNC,85.19,-40.3,-14.94,11.4,7.66,-2.94%,32.82%,Finance,38898400000,38.9,4.6,79.41,3/23/2020,161.79,87.35,6.78,47.35,Industrial Products
PNR,28.37,-11.1,-1.56,2.38,11.5,-55.73%,-57.99%,Industrial Products,4650195000,4.65,0.76,22.01,3/23/2020,47.43,27.36,22.42,40.19,Utilities
PNW,68.19,-26.3,-9.44,4.78,14.82,12.53%,-0.58%,Utilities,8069747000,8.07,3.13,60.05,3/18/2020,105.51,70.84,11.94,35.37,Basic Materials
PPG,80.43,-23.96,-4.57,6.21,12.86,-29.65%,-1.39%,Basic Materials,19045016000,19.05,2.04,69.77,3/19/2020,134.36,79.89,13.25,40.14,Utilities
PPL,21.77,-9.27,-3.65,2.46,9.31,-32.54%,-32.44%,Utilities,17636688000,17.64,1.66,18.12,3/23/2020,36.83,22.9,16.77,40.89,Medical
PRGO,44.36,-8.97,-1.74,4.03,11.19,-78.44%,5.07%,Medical,5826235000,5.83,0.9,40.01,4/2/2020,63.86,45.11,9.81,30.54,Finance
PRU,46.09,-28.97,-6.95,11.69,4.02,-41.96%,19.78%,Finance,18467532000,18.47,4.4,38.62,3/23/2020,106.39,47,16.21,56.68,Finance
PSA,194.08,-23.64,2.56,7.29,18.32,-0.42%,29.67%,Finance,33705572000,33.71,8,155.37,3/23/2020,266.76,196.62,19.95,27.25,Oils-Energy
PSX,51.62,-21.24,-0.7,8.07,6.14,-33.98%,-33.45%,Oils-Energy,22728148000,22.73,3.6,40.04,3/18/2020,119.92,49.51,22.43,56.95,Consumer Staples
PVH,30.99,-40.94,-7.01,9.5,3.42,-71.13%,17.96%,Consumer Staples,2325172000,2.33,0.15,28.4,3/23/2020,134.24,32.63,8.36,76.91,Industrial Products
PWR,30.56,-8,0.72,3.06,10.06,7.69%,54.27%,Industrial Products,4392128000,4.39,0.2,23.77,3/23/2020,44.09,30.79,22.22,30.69,Oils-Energy
PXD,74.68,-45.35,6.03,8.19,8.27,-56.44%,84.06%,Oils-Energy,12453482000,12.45,1.1,48.62,3/18/2020,178.22,67.77,34.9,58.1,Computers and Technology
PYPL,92.39,-17.37,-1.09,2.35,38.89,0.00%,121.46%,Computers and Technology,1.09695E+11,109.69,0,82.07,3/23/2020,124.45,91.38,11.17,25.76,Computers and Technology
QCOM,65.23,-13.33,-1.36,2.6,25.35,-1.65%,-8.36%,Computers and Technology,77749776000,77.75,2.48,55.78,4/11/2019,96.17,65.9,14.49,32.17,Computers and Technology
QRVO,73.44,-24.86,-7.25,5.39,13.84,4.19%,169.14%,Computers and Technology,8868412000,8.87,0,58.52,5/23/2019,122.37,74.58,20.32,39.99,Consumer Discretionary
RCL,24.39,-53.8,-10.11,9.54,2.7,-69.45%,35.63%,Consumer Discretionary,5187380000,5.19,3.12,19.25,3/18/2020,135.32,25.77,21.07,81.98,Finance
RE,178.02,-75.42,-11.27,21.35,8.49,4.28%,42.15%,Finance,7659374000,7.66,6.2,168.16,3/23/2020,294.31,181.24,5.54,39.51,Finance
REG,32.27,-26.65,-8.22,1.46,9.07,-49.96%,110.66%,Finance,5568172000,5.57,2.38,31.8,4/3/2020,70.26,35.53,1.46,54.07,Medical
REGN,493.32,31.77,43.8,21.46,23.14,8.10%,178.89%,Medical,54871472000,54.87,0,271.37,9/27/2019,518,496.65,44.99,4.76,Finance
RF,8.07,-6.02,-1.6,1.55,5.35,-12.51%,24.88%,Finance,8032528000,8.03,0.62,6.94,3/19/2020,17.54,8.3,14,53.99,Business Services
RHI,37.97,-10.47,-1.04,3.9,9.79,-36.42%,29.38%,Business Services,4354990000,4.35,1.36,32.38,3/23/2020,69.08,38.17,14.72,45.03,Finance
RJF,57.53,-22.7,-4.12,7.5,7.86,7.32%,61.58%,Finance,8354254000,8.35,1.48,54.21,3/23/2020,102.45,58.98,5.77,43.85,Consumer Staples
RL,61,-45.43,-6.99,8.25,7.96,-52.24%,-15.26%,Consumer Staples,4864759000,4.86,2.75,59.82,4/3/2020,133.63,65.69,1.93,54.35,Medical
RMD,152.97,-12.27,11.02,3.98,35.75,100.65%,67.63%,Medical,21711352000,21.71,1.56,96.81,4/18/2019,177.99,142.29,36.71,14.06,Computers and Technology
ROK,146.78,-37.16,-4.68,8.56,16.78,34.21%,1.08%,Computers and Technology,17393906000,17.39,4.08,115.38,3/23/2020,209.6,143.68,21.39,29.97,Construction
ROL,36.05,-2.09,1.79,0.73,48.16,113.91%,42.78%,Construction,11695084000,11.7,0.48,30.72,3/25/2020,43.91,35.16,14.79,17.9,Industrial Products
ROP,299.68,-52.87,-6.11,13.05,22.5,79.13%,51.20%,Industrial Products,32370978000,32.37,2.05,240,3/16/2020,395,293.66,19.91,24.13,Retail-Wholesale
V,151.85,-33.88,-9.71,5.61,27.29,137.25%,80.89%,Business Services,3.08879E+11,308.88,1.2,133.93,3/23/2020,214.17,153.11,11.8,29.1,Medical
RSG,72.53,-18.78,-3.07,3.34,21.77,83.40%,17.19%,Business Services,24009882000,24.01,1.62,65.37,3/23/2020,100.91,72.71,9.87,28.12,Aerospace
RTN,116.7,-75.23,-25.32,11.93,10.26,6.37%,27.82%,Aerospace,32566460000,32.57,3.77,103,3/18/2020,233.48,122.43,11.74,50.02,Finance
SBAC,264.8,-21.86,3.42,1.29,30.68,133.65%,31.94%,Finance,30773760000,30.77,1.86,193.91,4/18/2019,309.85,260.47,26.77,14.54,Retail-Wholesale
SBUX,63.05,-15.55,-3.29,2.87,21.82,34.94%,61.17%,Retail-Wholesale,76290496000,76.29,1.64,50.02,3/18/2020,99.72,62.62,20.67,36.77,Finance
SCHW,33.6,-4.7,-0.01,2.72,12.12,12.02%,76.97%,Finance,44232964000,44.23,0.72,28,3/16/2020,51.65,32.96,16.67,34.95,Industrial Products
SEE,24.35,-6.55,-0.37,2.81,8.73,-47.41%,-38.18%,Industrial Products,3766239000,3.77,0.64,17.06,3/19/2020,47.13,24.52,29.94,48.33,Construction
SHW,420.03,-120.55,-39.63,21.09,20.15,50.32%,60.84%,Construction,40110088000,40.11,5.36,325.43,3/18/2020,599.95,424.98,22.52,29.99,Finance
SIVB,139.34,-59.29,-20,21.73,6.44,13.16%,141.15%,Finance,7368644000,7.37,0,127.39,3/16/2020,270.95,140.01,8.58,48.57,Consumer Staples
SJM,112.33,6.08,9.3,8.27,13.25,-5.56%,39.70%,Consumer Staples,12573830000,12.57,3.52,91.88,3/16/2020,128.43,109.6,18.21,12.54,Oils-Energy
SLB,14.29,-12.52,0.53,1.47,8.56,-84.42%,-32.24%,Oils-Energy,19217068000,19.22,2,11.87,3/19/2020,48.88,12.59,16.93,70.77,Finance
SLG,38.64,-42.07,-8.91,3.08,5.68,-68.74%,-18.49%,Finance,3114282000,3.11,1.18,37.5,4/1/2020,96.39,39.73,2.95,59.91,Consumer Discretionary
SNA,95.52,-48.62,-12.33,12.27,8.5,-32.07%,13.80%,Consumer Discretionary,5511356000,5.51,4.32,90.72,3/23/2020,174,104.26,5.03,45.1,Computers and Technology
SNPS,124.55,-15.57,0.17,3.13,40.24,169.14%,63.34%,Computers and Technology,19366328000,19.37,0,104.9,3/23/2020,166.87,125.96,15.78,25.36,Utilities
SO,50.27,-13.63,-5.74,3.11,16.12,17.44%,15.99%,Utilities,55241552000,55.24,2.48,41.96,3/23/2020,71.1,50.14,16.53,29.3,Finance
SPG,46.72,-75.75,-11.45,6.81,3.91,-76.99%,18.16%,Finance,14102696000,14.1,8.4,42.25,4/2/2020,186.4,47.04,9.57,74.94,Business Services
SPGI,238.8,-41.34,-0.95,9.53,24.59,129.61%,32.63%,Business Services,58089332000,58.09,2.68,186.05,3/18/2020,312.94,234.33,22.09,23.69,Utilities
LIN,162.13,-33.26,-5.21,7.35,21.89,0.00%,130.00%,Oils-Energy,89414272000,89.41,0,146.71,3/16/2020,227.85,160.87,9.51,28.84,Auto-Tires-Trucks
STE,138.72,-22.31,8.98,5.53,24.9,97.52%,71.50%,Medical,11835655000,11.84,1.48,105.69,3/23/2020,168.98,137.7,23.81,17.91,Finance
STT,52.16,-13.69,3.5,6.18,8.16,-31.34%,22.87%,Finance,18574608000,18.57,2.08,42.1,3/18/2020,85.89,50.4,19.29,39.27,Computers and Technology
STX,45.76,-4.45,-2.21,3.97,12.06,-14.39%,-24.29%,Computers and Technology,12416287000,12.42,2.6,39.02,3/23/2020,64.17,47.86,14.73,28.69,Consumer Staples
HD,178.7,-49.24,-11.85,10.25,17.43,57.33%,32.52%,Retail-Wholesale,1.94861E+11,194.86,6,140.63,3/18/2020,247.36,178.63,21.3,27.76,Oils-Energy
SWK,95.27,-39.08,-1.39,8.39,10.98,-0.84%,27.37%,Industrial Products,14738652000,14.74,2.76,70,3/23/2020,173.67,92.13,26.52,45.14,Computers and Technology
SWKS,80.3,-19.33,-6.79,5.52,14.94,-16.33%,47.36%,Computers and Technology,14185821000,14.19,1.76,66.29,6/3/2019,128.48,82.45,17.45,37.5,Finance
SYF,13.25,-15.62,-3.85,4.29,3.38,-53.22%,52.91%,Finance,8778856000,8.78,0.88,12.15,3/18/2020,38.18,14.51,8.3,65.3,Medical
MCD,160.33,-39.18,-3.68,7.85,20.15,65.13%,-23.19%,Retail-Wholesale,1.2039E+11,120.39,5,124.23,3/18/2020,221.93,158.17,22.52,27.76,Computers and Technology
SYY,39.5,-29,-10.95,3.72,11.26,8.17%,29.23%,Consumer Staples,20996338000,21,1.8,26,3/18/2020,85.98,41.87,34.18,54.06,Utilities
T,27.46,-8.84,-2.38,3.58,7.84,-12.24%,36.80%,Utilities,2.06586E+11,206.59,2.08,26.08,3/23/2020,39.7,28.05,5.03,30.83,Consumer Staples
TAP,41.01,-9.42,2.95,4.54,8.34,-48.65%,155.15%,Consumer Staples,8655200000,8.66,2.28,34.01,3/23/2020,64.32,37.85,17.07,36.24,Aerospace
TDG,270.31,-286.76,-92.7,18.66,14.61,27.45%,120.12%,Aerospace,15272622000,15.27,0,200.06,3/18/2020,673.51,272.54,25.99,59.87,Computers and Technology
TEL,58.69,-24.31,-4.09,5.46,10.83,-16.92%,-3.34%,Computers and Technology,19685140000,19.69,1.84,48.62,3/19/2020,101,59.12,17.16,41.89,Finance
TFC,27.21,-19.68,-6.06,4.36,6.53,-27.05%,47.73%,Finance,38305656000,38.31,1.8,24.01,3/16/2020,56.92,28.47,11.76,52.2,Medical
TFX,294.37,-42.74,11.86,11.15,25.09,143.75%,41.07%,Medical,13691286000,13.69,1.36,221.27,3/23/2020,398.65,279.8,24.83,26.16,Retail-Wholesale
TGT,92.57,-13.27,-2.17,6.4,14.89,12.91%,7.57%,Retail-Wholesale,47270776000,47.27,2.64,70.03,5/14/2019,130.24,95.27,24.35,28.92,Retail-Wholesale
TIF,128.28,-5.08,0.84,4.6,28.12,45.08%,4.10%,Retail-Wholesale,15719301000,15.72,2.32,78.6,8/28/2019,134.42,129.34,38.73,4.57,Retail-Wholesale
TJX,40.96,-19.65,-5.84,2.68,16.65,27.80%,43.46%,Retail-Wholesale,52687428000,52.69,0.92,32.72,3/23/2020,64.95,44.62,20.12,36.94,Medical
TMO,282.21,-28.15,7.87,12.34,22.3,115.02%,51.23%,Medical,1.14683E+11,114.68,0.88,250.21,3/23/2020,342.26,275.2,11.34,17.55,Utilities
TMUS,81.98,-7.39,0.26,4.49,18.96,163.29%,52.21%,Utilities,72333720000,72.33,0,63.5,3/18/2020,101.35,85.13,22.54,19.11,Retail-Wholesale
TPR,11.09,-12.27,-2.82,2.53,4.38,-74.41%,25.40%,Retail-Wholesale,3039079000,3.04,1.35,10.18,4/2/2020,36.06,11.07,8.21,69.25,Finance
TROW,95.19,-28.3,-3.24,8.06,11.65,19.96%,41.08%,Finance,22929022000,22.93,3.6,82.51,3/23/2020,139.82,93.87,13.32,31.92,Finance
TRV,93.89,-31.42,-6.06,9.6,9.92,-9.72%,16.27%,Finance,24786464000,24.79,3.28,76.99,3/18/2020,155.09,95.2,18,39.46,Retail-Wholesale
TSCO,79.5,-13.64,-3.6,4.68,17.95,-3.59%,46.22%,Retail-Wholesale,9763504000,9.76,1.4,63.89,3/17/2020,114.25,84,19.64,30.42,Consumer Staples
TSN,53.82,-14.68,-4.77,5.54,9.99,37.51%,12.84%,Consumer Staples,19766754000,19.77,1.68,42.57,3/18/2020,94.24,55.34,20.9,42.89,Business Services
TT,80.03,-26.03,-2.64,6.37,12.7,20.80%,28.76%,Business Services,19753908000,19.75,2.12,32.58,3/2/2020,146.85,80.89,59.29,45.5,Consumer Discretionary
TTWO,118.49,7.27,6.79,2.92,39.84,372.93%,13.52%,Consumer Discretionary,13555303000,13.56,0,87.97,4/17/2019,135.7,116.33,25.76,12.68,Computers and Technology
TWTR,23.09,-11.84,-2.2,0.49,47.59,-55.68%,146.57%,Computers and Technology,18008246000,18.01,0,20,3/18/2020,45.85,23.32,13.38,49.64,Computers and Technology
TXN,99.98,-13.83,-0.52,5.12,18.92,76.81%,10.26%,Computers and Technology,95284232000,95.28,3.6,93.09,3/16/2020,135.7,96.89,6.89,26.32,Aerospace
TXT,24.85,-15.65,-1.84,3.75,6.63,-46.88%,-1.79%,Aerospace,5577303000,5.58,0.08,20.26,3/23/2020,58,24.86,18.47,57.16,Consumer Staples
UA,7.48,-4.72,-0.84,0.34,21.91,0.00%,70.77%,Consumer Staples,3113081000,3.11,0,6.6,4/3/2020,24.55,7.45,11.76,69.53,Consumer Staples
UAA,8.22,-5.38,-1.22,0.34,24.29,-81.40%,70.77%,Consumer Staples,3519725000,3.52,0,7.39,4/3/2020,27.72,8.26,10.1,70.35,Transportation
UAL,22.89,-35.4,-9.95,12.1,2.12,-61.64%,11.20%,Transportation,5807013000,5.81,0,17.8,3/18/2020,96.03,25.65,22.24,76.16,Finance
UDR,31.62,-15.75,-6.32,0.6,15.78,-3.15%,40.85%,Finance,9413461000,9.41,1.37,29.2,3/23/2020,51.25,32.98,7.65,38.3,Medical
UHS,85.38,-39.96,-3.61,9.99,8.8,-25.10%,41.08%,Medical,7692132000,7.69,0.8,65.2,3/19/2020,157.79,87.92,23.64,45.89,Retail-Wholesale
ULTA,156.74,-99.96,-17.71,11.92,13.55,6.38%,128.24%,Retail-Wholesale,9222926000,9.22,0,124.05,3/18/2020,368.83,161.5,20.86,57.5,Medical
UNH,229.49,-31.91,-12.96,15.11,15.71,102.05%,85.60%,Medical,2.28075E+11,228.07,4.32,187.72,3/23/2020,306.71,237.32,18.2,25.18,Finance
UNM,13.46,-9.33,-2.51,5.44,2.41,-61.75%,14.17%,Finance,2630504000,2.63,1.14,9.58,3/23/2020,38,13.1,28.83,64.58,Transportation
UNP,138.57,-18.77,-0.48,8.39,16.27,27.27%,-9.50%,Transportation,97879008000,97.88,3.88,105.08,3/18/2020,188.96,136.49,24.17,26.67,Transportation
UPS,90,-1.3,-7.52,7.53,12,-3.87%,27.24%,Transportation,79873632000,79.87,4.04,82,3/12/2020,125.31,90.39,8.89,28.18,Construction
URI,91.07,-37.57,0.92,19.61,4.89,0.21%,64.49%,Construction,7123341000,7.12,0,58.85,3/18/2020,170.04,95.98,35.38,46.44,Finance
USB,31.19,-14.91,-4.58,4.32,7.39,-25.33%,27.73%,Finance,49699592000,49.7,1.68,28.59,3/23/2020,61.11,31.93,8.34,48.96,Business Services
APD,186.6,-40.76,-6.57,8.5,22.27,28.03%,-14.56%,Basic Materials,42921868000,42.92,5.36,167.43,3/16/2020,257.01,189.28,10.27,27.4,Basic Materials
VAR,96.35,-29.17,-4.62,4.74,19.92,3.42%,5.75%,Medical,8850815000,8.85,0,89.62,3/23/2020,150.06,94.44,6.98,35.79,Consumer Staples
VFC,48.88,-22.63,-8.91,3.39,14.36,-35.01%,12.75%,Consumer Staples,19388646000,19.39,1.92,45.07,3/23/2020,100.25,48.68,7.79,51.24,Consumer Discretionary
VIAC,12.43,-10.65,-0.36,4.45,2.87,-79.29%,101.45%,Consumer Discretionary,7831310000,7.83,0.96,10.1,3/18/2020,53.71,12.78,18.74,76.86,Oils-Energy
VLO,40.34,-24.1,-4.7,5.46,7.51,-30.52%,-17.21%,Oils-Energy,16987486000,16.99,3.92,31,3/18/2020,101.99,41,23.15,60.45,Construction
VMC,99.21,-28.87,0,4.7,22.79,28.75%,64.62%,Construction,14223151000,14.22,1.36,65.56,3/18/2020,152.49,107.12,33.92,34.94,Finance
VNO,31.89,-22.65,-5.81,1.23,9.67,-63.51%,-26.98%,Finance,5989321000,5.99,2.64,27.64,3/23/2020,70.45,33.66,13.33,54.73,Business Services
VRSK,141.65,-18.75,3.88,4.38,32.14,96.25%,49.26%,Business Services,23318238000,23.32,1.08,116.61,3/23/2020,171.73,140.78,17.68,17.52,Computers and Technology
VRSN,182.69,-6.36,8.78,5.01,35.02,168.34%,21.93%,Computers and Technology,21164792000,21.16,0,148.77,3/23/2020,221.78,175.46,18.57,17.63,Medical
VRTX,238.31,10.05,21.07,4.25,53.05,88.50%,617.21%,Medical,62784584000,62.78,0,163.68,4/18/2019,249.85,225.48,31.32,4.62,Finance
VTR,22.52,-29.63,-7.87,1.19,5.96,-68.93%,25.91%,Finance,8579508000,8.58,3.17,13.35,3/18/2020,75.4,22.95,40.72,70.13,Utilities
VZ,54.7,-1,1.93,4.81,11,12.25%,3.77%,Utilities,2.28506E+11,228.51,2.46,48.84,3/25/2020,62.22,52.92,10.71,12.09,Transportation
WAB,44.06,-21.08,-3.52,4.19,11.01,-54.24%,169.34%,Transportation,8404610000,8.4,0.48,35.07,3/18/2020,81.75,46.12,20.4,46.1,Computers and Technology
WAT,179.94,-21.53,-5.42,9.07,20.1,47.91%,20.97%,Computers and Technology,11563253000,11.56,0,154.39,3/23/2020,254.96,182.31,14.2,29.42,Retail-Wholesale
WBA,40.72,-5.4,-3.28,5.91,7.28,-56.18%,79.16%,Retail-Wholesale,35717956000,35.72,1.83,39.4,4/2/2020,64.5,43.03,3.24,36.87,Computers and Technology
WDC,38.21,-18.72,-4.04,0.33,117.18,-59.95%,9.51%,Computers and Technology,11478990000,11.48,2,27.4,3/19/2020,72,38.67,28.29,46.93,Utilities
WEC,85.25,-12.33,-3.82,3.58,23.33,77.26%,50.55%,Utilities,27761434000,27.76,2.53,68.01,3/23/2020,109.53,83.52,20.22,22.17,Finance
WELL,37.26,-39.75,-12.44,3.23,9.74,-49.09%,53.17%,Finance,15925468000,15.93,3.48,24.27,3/18/2020,93.17,40.6,34.86,60.01,Finance
WFC,26.23,-14.3,-4.05,4.35,6.11,-49.89%,17.59%,Finance,1.11313E+11,111.31,2.04,25.1,3/23/2020,54.75,26.57,4.31,52.09,Consumer Discretionary
WHR,82.64,-45.23,-1.62,16,5.04,-58.28%,2.75%,Consumer Discretionary,5116405000,5.12,4.8,64,3/23/2020,163.64,80.6,22.56,49.5,Finance
WLTW,157.09,-40.07,-10.12,10.97,14.24,18.08%,137.74%,Finance,20390376000,20.39,2.72,143.34,3/23/2020,220.97,156.19,8.75,28.91,Business Services
WM,89.02,-23.69,-6.28,4.43,19.96,65.29%,10.42%,Business Services,38707980000,38.71,2.18,85.34,3/25/2020,126.79,88.43,4.13,29.79,Oils-Energy
WMB,13.65,-5.33,-0.26,0.98,13.6,-71.74%,7.39%,Oils-Energy,17444724000,17.44,1.6,8.41,3/19/2020,29.28,13.33,38.39,53.38,Retail-Wholesale
WMT,119.48,6.57,9.9,4.94,23.11,47.12%,7.89%,Retail-Wholesale,3.3605E+11,336.05,2.16,97.24,4/4/2019,128.08,114.14,18.61,6.71,Finance
WRB,49.48,-18.48,-2.39,3.32,15.13,50.80%,10.85%,Finance,9295827000,9.3,0.44,43.05,3/23/2020,79.92,50.24,13,38.09,Basic Materials
WRK,25.68,-6.9,-2.21,3.73,7.16,0.00%,224.79%,Basic Materials,6924037000,6.92,1.86,21.5,3/16/2020,44.39,26.71,16.28,42.15,Business Services
