Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
ANTM,"Anthem Inc",267.82,Average,Weak,Strengthening,4.4,+0.62%,+0.65%,+2.90%,59.61%,73.59%,119.66%,41.07%
AON,"AON Plc",190.81,Average,Weak,Strengthening,4,+1.40%,-0.53%,unch,61.12%,95.02%,60.60%,-8.57%
AOS,"Smith [A.O.] Corp",41.08,Average,Weak,Strongest,3.55,-1.85%,-4.69%,-10.17%,-20.03%,23.38%,81.97%,27.02%
APA,"Apache Corp",8.49,Weak,Soft,Strengthening,3.44,-7.41%,+175.00%,+11.11%,-82.68%,-87.20%,-100.00%,-53.71%
APD,"Air Products and Chemicals",221.5,Average,Weak,Strengthening,4.26,-0.87%,+1.40%,+2.13%,61.33%,47.61%,42.04%,-14.56%
APH,"Amphenol Corp",84.22,Soft,Weak,Strengthening,4,+9.20%,-1.08%,+1.14%,19.51%,49.94%,66.96%,53.88%
APTV,"Aptiv Plc",63.92,Soft,Weak,Strengthening,4.33,unch,+17.70%,+5.00%,-0.70%,-8.92%,-5.70%,-15.66%
ARE,"Alexandria Real Estate Equities",155.31,Average,Weak,Strengthening,4.5,unch,+0.58%,+1.79%,34.55%,64.77%,215.15%,110.67%
ATO,"Atmos Energy Corp",110.7,Average,Weak,Strongest,4.25,+2.08%,-1.45%,+8.33%,38.67%,98.81%,50.00%,-41.27%
ATVI,"Activision Blizzard",66.88,Strong,Maximum,Weakening,4.46,+52.63%,+70.00%,+38.89%,34.11%,179.37%,56.39%,47.21%
AVB,"Avalonbay Communities",170.37,Soft,Weak,Strongest,3.63,-0.43%,-1.73%,+0.88%,-8.76%,-0.53%,14.43%,37.96%
