Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
FCX,"Freeport-Mcmoran Inc",8.34,Soft,Weak,Strengthening,4.43,unch,+20.00%,-37.50%,-31.81%,-59.94%,-98.98%,-32.82%
FDX,"Fedex Corp",124.85,Weak,Weak,Strengthening,3.79,-10.04%,-3.79%,+4.16%,-32.62%,-26.54%,129.93%,52.95%
FE,"Firstenergy Corp",46.21,Average,Weak,Strengthening,4.5,+4.11%,+1.67%,+1.52%,50.96%,27.23%,0.78%,-26.67%
FFIV,"F5 Networks Inc",124.11,Average,Soft,Strengthening,3.47,+1.51%,-2.94%,+0.49%,-9.10%,0.75%,96.19%,29.47%
FIS,"Fidelity National Information Services",127.96,Soft,Weak,Strongest,4.63,+5.93%,unch,+4.46%,55.05%,99.59%,80.97%,61.11%
FISV,"Fiserv Inc",100.63,Soft,Weak,Strongest,4.56,-0.97%,+2.50%,+2.44%,69.98%,153.89%,136.69%,101.09%
FITB,"Fifth Third Bncp",16.63,Weak,Soft,Strengthening,4.18,+2.74%,+7.58%,+6.78%,-32.45%,-14.89%,63.91%,50.55%
FLIR,"Flir Systems Inc",34.15,Weak,Soft,Strengthening,3.83,+1.72%,+1.82%,+10.42%,-6.10%,11.86%,50.68%,23.28%
FLS,"Flowserve Corp",24.8,Weak,Soft,Strengthening,3.2,+5.36%,+5.88%,+20.59%,-49.03%,-56.21%,-41.95%,-19.13%
FLT,"Fleetcor Technologies",223.59,Soft,Weak,Strongest,4.07,+2.07%,+1.89%,+4.07%,51.42%,37.81%,131.21%,120.85%
FMC,"FMC Corp",86.1,Soft,Weak,Weakening,4.81,+17.50%,+1.84%,+6.17%,18.48%,47.00%,51.12%,14.17%
FOX,"Fox Corp Cl B",26.23,Soft,Weak,Strengthening,5,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%
FOXA,"Fox Corp Cl A",26.88,Soft,Weak,Strengthening,3.42,+18.57%,+5.08%,+18.75%,0.00%,0.00%,0.00%,0.00%
FRC,"First Republic Bank",100.02,Average,Weak,Strengthening,3.67,+10.32%,+8.26%,-1.59%,10.41%,70.07%,75.08%,130.75%
FRT,"Federal Realty Investment Trust",75.36,Weak,Average,Strengthening,4.21,unch,+1.27%,+0.65%,-44.66%,-46.33%,97.01%,36.39%
FTI,"Technipfmc Plc",8.12,Weak,Soft,Weakening,4.47,-75.51%,+11.43%,-80.00%,-74.39%,-79.71%,-73.48%,68.83%
FTNT,"Fortinet Inc",112.96,Soft,Soft,Strengthening,3.8,+40.00%,+43.33%,+35.00%,185.76%,192.04%,664.00%,179.90%
FTV,"Fortive Corp",60.36,Soft,Weak,Strengthening,3.89,unch,+1.12%,+1.47%,0.58%,0.00%,0.00%,15.51%
GD,"General Dynamics Corp",138.19,Soft,Soft,Strengthening,4.27,+2.61%,+3.36%,+7.56%,-26.86%,3.05%,53.00%,27.54%
GE,"General Electric Company",6.84,Weak,Average,Weakening,4.09,+25.00%,+41.67%,+55.56%,-76.85%,-74.48%,-60.61%,-35.92%
GILD,"Gilead Sciences Inc",83.99,Maximum,Maximum,Strongest,3.8,-0.60%,+2.38%,+9.15%,27.39%,-19.00%,-22.38%,-9.81%
GIS,"General Mills",60.67,Maximum,Maximum,Strengthening,3.5,+7.95%,+2.60%,+9.21%,5.09%,7.61%,14.18%,-5.83%
GL,"Globe Life Inc",77.25,Weak,Weak,Strengthening,3,+1.76%,+1.21%,+3.14%,1.21%,37.73%,67.49%,14.21%
GLW,"Corning Inc",20.72,Weak,Soft,Strongest,3.6,+10.00%,+2.27%,+2.56%,-23.32%,-7.99%,15.03%,18.40%
GM,"General Motors Company",22.48,Weak,Soft,Strengthening,4.36,+45.76%,+14.69%,+29.36%,-33.39%,-36.84%,58.03%,-11.99%
GOOG,"Alphabet Cl C",1283.25,Average,Weak,Strengthening,4.74,-19.49%,+23.67%,+12.58%,52.19%,127.10%,148.36%,145.23%
GOOGL,"Alphabet Cl A",1279,Average,Weak,Strengthening,4.74,-19.49%,+23.67%,+12.58%,48.90%,122.95%,147.65%,145.23%
GPC,"Genuine Parts Company",74.65,Soft,Weak,Strengthening,3.33,+2.04%,-5.99%,-2.29%,-19.83%,-18.85%,23.43%,26.40%
GPN,"Global Payments Inc",154.88,Soft,Weak,Strongest,4.68,-0.63%,+2.14%,+4.10%,91.54%,204.31%,141.15%,77.09%
GPS,"Gap Inc",8.35,Weak,Soft,Strengthening,2.47,+3.92%,+21.15%,-22.58%,-67.40%,-79.56%,-28.62%,-0.32%
GRMN,"Garmin Ltd",82.11,Average,Weak,Strengthening,3.2,+35.11%,+16.00%,+2.82%,64.38%,77.77%,43.55%,30.89%
GS,"Goldman Sachs Group",183.49,Soft,Weak,Strongest,4.21,-9.81%,-4.77%,+22.83%,-15.39%,-7.32%,23.20%,5.84%
GWW,"W.W. Grainger",280.22,Average,Weak,Weakest,3.62,-4.05%,-0.22%,+2.04%,43.59%,13.40%,41.03%,15.26%
HAL,"Halliburton Company",7.58,Weak,Soft,Strengthening,3.32,unch,+16.67%,unch,-83.89%,-84.21%,-69.15%,-31.83%
HAS,"Hasbro Inc",75.2,Soft,Weak,Strengthening,4.08,-17.12%,+52.94%,+362.50%,-21.69%,5.01%,29.52%,10.36%
HBAN,"Huntington Bcshs",8.06,Weak,Average,Strengthening,3.19,+3.03%,+3.13%,unch,-36.03%,-25.30%,62.82%,91.33%
HBI,"Hanesbrands Inc",9.21,Weak,Soft,Strengthening,3.1,unch,+2.27%,+8.00%,-57.54%,-71.42%,23.94%,30.84%
HCA,"Hca Holdings Inc",115.66,Soft,Weak,Strengthening,4.57,+4.21%,-11.24%,+28.57%,38.43%,48.78%,123.40%,39.05%
HD,"Home Depot",209.42,Soft,Weak,Strengthening,4.1,unch,+3.26%,+4.61%,39.61%,84.19%,123.80%,32.52%
HES,"Hess Corp",37.35,Weak,Soft,Strengthening,4.2,unch,+10.00%,+134.62%,-21.05%,-50.34%,-123.87%,-39.51%
HFC,"Hollyfrontier Corp",27.02,Soft,Weak,Strongest,3.55,+17.48%,+30.54%,+50.00%,-3.08%,-32.04%,83.52%,-11.52%
HIG,"Hartford Financial Services Group",40.01,Weak,Weak,Strengthening,4.31,+19.05%,+19.82%,+12.10%,-15.38%,-4.37%,68.15%,11.42%
HII,"Huntington Ingalls Industries",195.96,Soft,Weak,Strengthening,3.4,+3.03%,-13.76%,-12.84%,-1.84%,40.41%,96.22%,27.91%
HLT,"Hilton Inc",75.62,Soft,Weak,Strongest,3.43,+2.94%,+4.95%,+5.26%,31.86%,21.70%,94.03%,-10.00%
HOG,"Harley-Davidson Inc",19.35,Weak,Soft,Strongest,2.92,+4.48%,+2.82%,+13.95%,-65.33%,-66.19%,-13.40%,-13.92%
HOLX,"Hologic Inc",43.79,Average,Weak,Strongest,3.87,unch,+3.28%,+1.75%,1.13%,28.83%,60.93%,33.06%
HON,"Honeywell International Inc",138.32,Weak,Weak,Strengthening,4.23,+3.48%,+0.96%,+4.92%,8.84%,34.95%,46.76%,-8.92%
HP,"Helmerich & Payne",17.74,Weak,Soft,Strengthening,3.71,+62.50%,+14.29%,+73.68%,-72.75%,-76.16%,-71.91%,-24.77%
HPE,"Hewlett Packard Enterprise Comp",9.71,Weak,Soft,Strengthening,3.44,+6.52%,+12.50%,+16.67%,-30.95%,0.00%,0.00%,-47.15%
HPQ,"HP Inc",15.52,Weak,Soft,Weakening,3.54,+3.45%,+5.45%,+3.92%,-15.14%,2.66%,-40.11%,-47.28%
HRB,"H&R Block",14.36,Weak,Soft,Strongest,3.33,+6.59%,+5.26%,+5.11%,-37.78%,-55.49%,28.74%,2.33%
HRL,"Hormel Foods Corp",50.51,Strong,Maximum,Strongest,2.86,unch,+5.71%,+2.22%,45.60%,84.18%,55.36%,1.94%
HSIC,"Henry Schein Inc",53.64,Soft,Weak,Strengthening,3.58,+4.65%,+1.20%,+5.26%,-18.64%,-4.04%,29.04%,-3.72%
HST,"Host Marriott Financial Trust",11.37,Weak,Soft,Weakening,3.5,+2.94%,-1.85%,+6.67%,-39.59%,-45.05%,31.25%,2.15%
HSY,"Hershey Foods Corp",146.46,Soft,Weak,Weakening,3.4,unch,+11.02%,+7.43%,36.37%,54.77%,45.23%,7.61%
HUM,"Humana Inc",373.59,Strong,Soft,Strengthening,4.44,+9.83%,+15.46%,+4.19%,74.84%,104.88%,137.95%,33.79%
HWM,"Howmet Aerospace Inc.",11.65,Weak,Strong,Weakest,3.57,+9.43%,+16.00%,+7.50%,-55.19%,-11.88%,-23.55%,-40.63%
IBM,"International Business Machines",120.12,Soft,Weak,Weakening,3.67,+1.52%,+3.59%,+1.81%,-25.10%,-29.25%,-22.50%,-16.86%
ICE,"Intercontinental Exchange",90.4,Average,Weak,Strongest,4.9,+11.58%,+2.17%,+3.37%,49.64%,102.34%,101.04%,68.24%
IDXX,"Idexx Laboratories",265.16,Average,Weak,Strengthening,4.6,+9.73%,+4.38%,+12.50%,66.64%,223.27%,144.50%,61.99%
IEX,"Idex Corp",152.73,Average,Weak,Strengthening,4.08,+4.11%,+0.67%,+5.11%,50.34%,101.25%,62.46%,16.15%
IFF,"International Flavors & Fragrances",125.12,Average,Weak,Strongest,3.44,-0.65%,-19.25%,+4.67%,-8.08%,8.00%,21.46%,66.42%
ILMN,"Illumina Inc",316.36,Strong,Average,Strongest,4.13,+37.86%,+2.27%,+19.40%,80.48%,66.87%,139.78%,90.34%
INCY,"Incyte Corp",100,Maximum,Maximum,Strongest,4.06,+8.77%,+47.37%,+135.00%,-18.71%,-6.84%,868.97%,322.04%
INFO,"IHS Markit Ltd",67.17,Soft,Weak,Strengthening,4,+18.00%,+1.89%,+11.11%,55.31%,158.94%,43.15%,112.26%
INTC,"Intel Corp",60.36,Soft,Weak,Weakening,3.39,+14.52%,+19.10%,+2.30%,66.19%,88.15%,110.82%,28.81%
INTU,"Intuit Inc",265.36,Average,Weak,Strengthening,3.93,+214.29%,+17.39%,+2.73%,124.20%,162.16%,85.38%,50.55%
IP,"International Paper Company",31.85,Weak,Soft,Weakening,3.22,+9.00%,+13.86%,+21.98%,-39.66%,-40.66%,47.67%,-5.25%
IPG,"Interpublic Group of Companies",15.06,Weak,Soft,Strengthening,3.6,+2.08%,+4.55%,+83.33%,-38.25%,-30.89%,96.94%,35.61%
IPGP,"Ipg Photonics Corp",119.05,Soft,Weak,Strengthening,3.89,-9.24%,+0.71%,-1.92%,-1.24%,25.98%,15.04%,70.76%
IQV,"Iqvia Holdings Inc",131.57,Average,Weak,Strongest,4.71,+3.47%,+0.72%,+1.42%,59.96%,90.43%,120.00%,103.08%
IR,"Ingersoll Rand Inc.",26.81,Soft,Weak,Strengthening,4.27,+53.85%,-8.70%,+15.00%,0.00%,0.00%,0.00%,-4.60%
IRM,"Iron Mountain Inc",24.99,Weak,Soft,Strengthening,3.75,+5.08%,+5.88%,-9.43%,-31.23%,-31.57%,-31.62%,36.72%
ISRG,"Intuitive Surg Inc",526.33,Soft,Weak,Strongest,3.54,+7.94%,+41.70%,+19.73%,94.12%,212.10%,127.69%,110.09%
IT,"Gartner Inc",105.96,Weak,Weak,Strengthening,4,+55.56%,+22.88%,+9.43%,-5.88%,26.94%,74.11%,110.01%
ITW,"Illinois Tool Works Inc",158.58,Soft,Weak,Strongest,3.07,+5.15%,+1.52%,+0.56%,17.58%,67.58%,65.95%,-2.59%
IVZ,"Invesco Plc",9.07,Weak,Average,Strengthening,2.67,+22.81%,+14.04%,+7.69%,-71.00%,-77.78%,1.59%,18.85%
J,"Jacobs Engineering Group Inc",84.2,Soft,Weak,Strongest,5,+15.63%,+12.00%,+9.17%,57.27%,81.82%,65.03%,0.34%
JBHT,"J B Hunt Transport",107.58,Strong,Soft,Strongest,3.2,-11.18%,-2.78%,+1.48%,18.28%,18.31%,54.75%,48.66%
JCI,"Johnson Controls Intl",29.54,Soft,Soft,Strengthening,3.5,+2.63%,+3.17%,+6.67%,-29.73%,-26.22%,-5.77%,131.80%
JKHY,"Jack Henry & Assoc",169.66,Average,Soft,Strengthening,2.89,+11.54%,+2.60%,unch,77.41%,151.53%,49.15%,28.32%
JNJ,"Johnson & Johnson",152.02,Strong,Average,Strongest,4.44,+1.08%,+6.00%,+6.61%,24.85%,50.40%,45.39%,10.40%
JNPR,"Juniper Networks",22.57,Strong,Soft,Strengthening,3.06,+5.88%,-18.18%,+54.55%,-18.75%,-13.66%,34.44%,-3.93%
JPM,"JP Morgan Chase & Company",95.18,Weak,Soft,Strengthening,3.4,+10.78%,+9.84%,+3.60%,12.61%,52.04%,98.11%,39.49%
JWN,Nordstrom,18.8,Weak,Soft,Strengthening,2.79,+24.62%,+18.42%,-46.51%,-60.52%,-75.95%,-9.41%,14.94%
K,"Kellogg Company",65.02,Average,Weak,Strongest,3.86,+13.19%,+8.79%,+6.32%,-10.22%,2.02%,3.14%,-6.87%
KEY,Keycorp,10.81,Weak,Soft,Strengthening,3.57,unch,+2.13%,unch,-40.44%,-24.03%,66.67%,76.83%
KEYS,"Keysight Technologies Inc Comm",95.84,Strong,Soft,Strengthening,4.43,+13.39%,+23.16%,+21.98%,167.11%,173.91%,55.76%,46.71%
KHC,"Kraft Heinz Company",29.33,Strong,Average,Strengthening,3.33,+30.19%,+4.00%,N/A,-67.98%,-66.51%,-12.04%,37.20%
KIM,"Kimco Realty Corp",8.92,Weak,Average,Strengthening,3,+2.78%,unch,+2.78%,-59.87%,-64.92%,11.11%,16.60%
KLAC,"K L A-Tencor Corp",161.21,Average,Soft,Strengthening,4.38,+12.73%,+4.09%,+10.43%,63.88%,173.75%,138.31%,55.97%
KMB,"Kimberly-Clark Corp",141.94,Average,Soft,Strongest,3.83,+2.22%,+1.83%,+7.79%,9.22%,27.14%,25.05%,-6.46%
KMI,"Kinder Morgan",14.97,Weak,Weak,Strengthening,3.94,unch,-4.35%,unch,-26.15%,-66.24%,-15.93%,-18.59%
KMX,"Carmax Inc",65.22,Soft,Soft,Strengthening,4.45,-10.34%,+5.26%,+6.71%,11.85%,-6.79%,101.13%,42.41%
KO,"Coca-Cola Company",48.06,Soft,Weak,Strengthening,4.13,unch,+1.61%,+4.35%,11.59%,17.53%,3.43%,-18.98%
KR,"Kroger Company",31.93,Soft,Soft,Strongest,3.63,-2.08%,+7.32%,+1.41%,6.61%,-10.93%,25.00%,12.74%
KSS,"Kohl's Corp",18.48,Weak,Soft,Strengthening,2.85,-12.94%,+1.97%,-8.96%,-53.88%,-75.22%,14.62%,5.00%
KSU,"Kansas City Southern",139.36,Soft,Weak,Strengthening,3.75,+0.55%,+9.60%,+2.50%,58.38%,30.85%,43.15%,11.21%
L,"Loews Corp",36.14,Weak,Soft,Strengthening,0,-1.33%,+9.33%,+32.29%,-21.35%,-13.17%,38.91%,4.23%
LB,"L Brands Inc",13.78,Weak,Soft,Strengthening,3.61,unch,+26.32%,N/A,-72.35%,-84.89%,-34.57%,12.75%
LDOS,"Leidos Holdings Inc",99.28,Soft,Weak,Strongest,4.33,+13.33%,+5.45%,+14.14%,90.16%,135.54%,101.95%,119.12%
LEG,"Leggett & Platt Inc",28.89,Weak,Soft,Strengthening,3,+13.43%,+1.59%,-5.77%,-44.94%,-34.80%,44.38%,25.65%
LEN,"Lennar Corp",42.93,Weak,Soft,Strengthening,4.13,+12.11%,+20.45%,+15.04%,-17.46%,-9.03%,105.00%,186.12%
LH,"Laboratory Corp of America Holdings",148.52,Soft,Weak,Strengthening,4.42,+2.11%,+1.03%,+3.56%,3.65%,17.01%,66.47%,92.21%
LHX,"L3Harris Technologies Inc",203.5,Average,Weak,Strongest,4.69,+7.95%,+6.09%,+3.43%,84.55%,150.92%,96.11%,152.92%
LIN,"Linde Plc",188.55,Soft,Weak,Strengthening,4.5,+8.99%,+4.57%,+9.74%,0.00%,0.00%,17.07%,130.00%
LKQ,"LKQ Corp",20.93,Weak,Soft,Strengthening,4.7,+7.02%,+1.56%,+1.82%,-27.84%,-18.16%,86.61%,85.55%
LLY,"Eli Lilly and Company",157.29,Maximum,Maximum,Strongest,4.5,+3.50%,+2.74%,+0.76%,92.07%,119.74%,117.27%,13.78%
LMT,"Lockheed Martin Corp",401.51,Average,Soft,Strongest,4.2,+12.52%,+5.49%,+39.63%,47.02%,105.51%,92.54%,31.17%
LNC,"Lincoln National Corp",29.66,Weak,Soft,Weakening,3.78,-7.50%,+1.72%,+2.88%,-54.17%,-48.26%,44.28%,27.33%
LNT,"Alliant Energy Corp",52.87,Soft,Weak,Strengthening,4.14,N/A,-13.04%,unch,32.31%,66.97%,32.76%,8.88%
LOW,"Lowe's Companies",97.1,Soft,Weak,Strengthening,4.64,+4.44%,+7.50%,-8.27%,16.33%,32.72%,113.43%,28.32%
LRCX,"Lam Research Corp",279.02,Average,Weak,Strengthening,4.5,+6.00%,+6.47%,+9.47%,99.33%,263.78%,229.19%,109.53%
LUV,"Southwest Airlines Company",31.19,Soft,Average,Strengthening,3.93,+12.84%,+1.48%,+14.75%,-43.93%,-28.28%,112.44%,20.55%
LVS,"Las Vegas Sands",47.01,Weak,Soft,Weakening,4,-1.32%,-11.11%,+7.06%,-18.07%,-14.91%,-8.94%,-5.79%
LW,"Lamb Weston Holdings Inc",59.92,Weak,Soft,Strengthening,3,+11.76%,-1.25%,+2.78%,41.79%,0.00%,0.00%,33.44%
LYB,"Lyondellbasell Industries NV",52.19,Weak,Soft,Weakening,3.59,-2.88%,-3.17%,+0.91%,-38.90%,-48.24%,7.85%,-23.86%
LYV,"Live Nation Entertainment",38.35,Weak,Soft,Strengthening,4.27,-10.13%,+5.13%,+3.12%,22.72%,47.56%,-122.22%,68.17%
MA,"Mastercard Inc",259.97,Weak,Weak,Strengthening,4.62,+6.97%,+3.85%,+7.23%,127.51%,186.56%,146.67%,78.22%
MAA,"Mid-America Apartment Communities",113.5,Soft,Weak,Strengthening,3.64,-1.29%,+2.61%,+5.33%,12.08%,47.92%,63.30%,65.88%
MAR,"Marriot Int Cl A",84.26,Weak,Soft,Strengthening,3.32,-1.34%,unch,+5.22%,-8.88%,2.96%,131.66%,52.02%
MAS,"Masco Corp",39.99,Soft,Weak,Strengthening,4.69,-2.86%,+8.64%,-6.38%,16.45%,52.69%,120.59%,-21.29%
MCD,"McDonald's Corp",186.1,Soft,Weak,Strengthening,4.41,-4.09%,-0.49%,-0.58%,39.49%,88.47%,46.27%,-23.19%
MCHP,"Microchip Technology",80.34,Soft,Weak,Weakening,4.44,-3.08%,unch,+8.80%,7.94%,69.74%,171.43%,177.00%
MCK,"Mckesson Corp",141.61,Soft,Weak,Strongest,4.08,unch,+8.88%,+0.82%,4.19%,-38.22%,62.51%,55.74%
MCO,"Moody's Corp",239.36,Soft,Weak,Strengthening,4.11,+8.04%,+4.55%,+10.11%,108.10%,122.66%,96.91%,44.83%
MDLZ,"Mondelez Intl Inc",53.48,Soft,Weak,Weakest,4.6,+4.92%,unch,+6.56%,19.00%,45.25%,40.34%,-24.46%
MDT,"Medtronic Inc",103.33,Average,Weak,Strengthening,4.46,+2.34%,+6.78%,+5.48%,28.39%,33.14%,36.65%,79.69%
MET,"Metlife Inc",33.06,Weak,Soft,Strengthening,4.1,-9.93%,+5.34%,+13.85%,-27.78%,-26.91%,6.45%,-5.04%
MGM,"MGM Resorts International",14.08,Weak,Soft,Weakest,3.67,+6.90%,-8.00%,-25.00%,-50.44%,-36.00%,60.42%,27.95%
MHK,"Mohawk Industries",79.6,Weak,Soft,Weakening,3.57,+4.17%,+0.70%,+2.90%,-66.12%,-55.60%,23.19%,27.77%
MKC,"Mccormick & Company Inc",156.89,Average,Soft,Strengthening,2.25,-1.23%,+13.18%,+6.42%,56.26%,106.87%,58.75%,26.02%
MKTX,"Marketaxess Holdings",429.78,Maximum,Maximum,Strengthening,3.43,+1.43%,-2.31%,+1.46%,132.82%,388.78%,174.11%,94.60%
MLM,"Martin Marietta Materials",198.87,Soft,Weak,Strengthening,4.08,+13.14%,-2.27%,+134.48%,-9.15%,43.56%,160.43%,60.22%
MMC,"Marsh & Mclennan Companies",98.54,Average,Weak,Strengthening,3.67,+11.59%,+4.42%,+4.83%,37.09%,73.00%,65.25%,28.58%
MMM,"3M Company",146.46,Soft,Weak,Strengthening,2.82,+4.45%,+7.84%,-10.80%,-23.52%,-7.88%,21.50%,0.99%
MNST,"Monster Beverage Cp",62.19,Average,Weak,Weakest,4,+1.85%,-5.36%,+11.63%,37.01%,31.59%,120.65%,70.43%
MO,"Altria Group",40.85,Soft,Weak,Weakening,4.3,-5.26%,unch,-2.17%,-42.84%,-21.55%,64.20%,2.40%
MOS,"Mosaic Company",11.45,Weak,Soft,Weakening,4,-70.37%,-60.00%,+19.05%,-57.07%,-74.55%,-92.86%,-1.65%
MPC,"Marathon Petroleum Corp",25.45,Weak,Soft,Strengthening,4.42,+25.38%,+30.08%,"-1,000.00%",-47.59%,-50.65%,12.53%,26.72%
MRK,"Merck & Company",83.46,Strong,Soft,Weakening,4.5,+20.80%,+12.07%,+16.19%,34.85%,44.90%,48.71%,10.90%
MRO,"Marathon Oil Corp",4.35,Weak,Soft,Strongest,3.14,+250.00%,+109.09%,+416.67%,-71.31%,-85.66%,-55.88%,-53.32%
MS,"Morgan Stanley",39.09,Soft,Weak,Weakening,3.91,+22.45%,+10.00%,+8.85%,-6.48%,4.63%,115.58%,20.84%
MSCI,"MSCI Inc",317.18,Average,Average,Weakening,3.75,+5.66%,+3.36%,+9.93%,223.55%,405.55%,222.00%,56.30%
MSFT,"Microsoft Corp",178.6,Strong,Average,Strengthening,4.88,+10.40%,+13.22%,+14.00%,168.98%,273.09%,78.57%,44.93%
MSI,"Motorola Solutions",157.77,Average,Weak,Strongest,4.44,+4.37%,+2.63%,+7.41%,88.45%,160.48%,208.71%,34.11%
MTB,"M&T Bank Corp",105.48,Weak,Soft,Strengthening,3.13,-3.88%,-9.73%,+2.74%,-31.47%,-11.81%,81.64%,46.56%
MTD,"Mettler-Toledo International",720.91,Average,Weak,Strongest,2.64,+1.05%,+1.38%,+0.99%,46.98%,123.84%,94.28%,21.02%
MU,"Micron Technology",45.7,Weak,Weak,Weakest,4.47,-2.33%,+16.28%,+33.33%,67.28%,56.51%,90.99%,43.09%
MXIM,"Maxim Integrated",53.09,Soft,Weak,Strengthening,3.19,+6.12%,unch,unch,18.19%,61.96%,50.00%,-5.68%
MYL,"Mylan NV Ord Shs",16.11,Weak,Weak,Strengthening,3.92,+2.63%,+8.42%,+3.80%,-56.26%,-78.82%,24.16%,48.98%
NBL,"Noble Energy Inc",6.95,Weak,Soft,Weakening,4.29,+9.09%,+23.08%,-12.50%,-79.65%,-86.23%,-114.83%,-13.00%
NCLH,"Norwegian Cruise Ord",12.38,Weak,Soft,Weakening,4.11,+3.72%,+3.17%,+16.90%,-75.30%,-75.92%,140.09%,106.74%
NDAQ,"Nasdaq Inc",111.24,Average,Soft,Strongest,4,+4.96%,+2.52%,+4.27%,59.12%,129.03%,73.61%,21.77%
NEE,"Nextera Energy",246.26,Soft,Weak,Strengthening,4.14,+5.29%,+3.07%,+9.45%,85.13%,134.42%,57.92%,12.83%
NEM,"Newmont Mining Corp",59.23,Strong,Maximum,Weakest,4.27,-10.00%,-47.83%,+26.92%,73.54%,137.11%,21.10%,33.57%
NFLX,"Netflix Inc",422.96,Strong,Strong,Weakest,3.93,+40.00%,+7.14%,+33.33%,196.05%,430.21%,679.25%,266.17%
NI,"NiSource Inc",26.38,Soft,Weak,Strengthening,4.4,-100.00%,unch,+6.49%,9.05%,49.63%,-22.81%,-19.50%
NKE,"Nike Inc",89.91,Soft,Weak,Strengthening,4.38,+20.69%,+21.13%,-6.06%,60.98%,78.13%,67.11%,40.71%
NLOK,"Nortonlifelock Inc.",20.12,Weak,Weak,Strengthening,3.33,-60.61%,+66.67%,+3.57%,-34.46%,-18.44%,-33.90%,-29.13%
NLSN,"Nielsen Holdings Plc",13.26,Weak,Average,Strengthening,3.88,+17.50%,+31.58%,+14.81%,-67.66%,-71.14%,-30.74%,3.34%
NOC,"Northrop Grumman Corp",356.3,Strong,Soft,Strongest,4.36,+15.82%,+9.05%,+10.24%,44.64%,120.24%,137.51%,41.13%
NOV,National-Oilwell,11.67,Weak,Soft,Strengthening,3.74,-710.00%,+42.86%,-122.22%,-66.32%,-78.47%,-110.84%,-60.45%
NOW,"Servicenow Inc",299.59,Soft,Weak,Strengthening,4.54,+61.11%,+66.67%,+111.11%,239.21%,293.73%,164.36%,406.98%
NRG,"NRG Energy",31.37,Soft,Weak,Strengthening,4.67,-12.15%,-10.26%,-12.82%,83.77%,22.88%,"1,621.74%",-38.11%
NSC,"Norfolk Southern Corp",160.67,Soft,Weak,Strongest,3.44,+0.39%,-2.53%,+15.67%,38.07%,52.60%,61.82%,-2.82%
NTAP,"Netapp Inc",42.15,Weak,Weak,Strengthening,3.19,+20.25%,+10.87%,-2.65%,6.74%,16.69%,84.40%,-2.83%
NTRS,"Northern Trust Corp",80,Weak,Weak,Weakening,3,+3.05%,+4.17%,+1.37%,-8.42%,9.44%,95.00%,52.80%
NUE,"Nucor Corp",37.33,Weak,Weak,Strengthening,4,+12.50%,+0.80%,+3.33%,-37.78%,-22.41%,89.04%,7.03%
NVDA,"Nvidia Corp",292.32,Average,Average,Weakening,4.38,+17.74%,+4.60%,+11.67%,187.49%,"1,226.92%",288.98%,133.22%
NVR,"NVR Inc",2917.75,Weak,Soft,Strengthening,4,+8.36%,+17.59%,+41.83%,39.44%,116.92%,248.24%,66.24%
NWL,"Newell Rubbermaid Inc",12.86,,Soft,Rising,3.44,+30.36%,+25.00%,+133.33%,-72.84%,-67.48%,-15.00%,69.63%
NWS,"News Cp Cl B",9.17,Weak,Soft,Strengthening,2,N/A,N/A,N/A,-31.05%,-40.57%,0.00%,17.49%
NWSA,"News Cp Cl A",8.9,Weak,Average,Strengthening,1.67,unch,+250.00%,+500.00%,-30.95%,-42.69%,0.00%,17.49%
O,"Realty Income Corp",52.37,Weak,Soft,Strengthening,4.06,unch,+1.23%,+2.50%,-15.19%,6.08%,33.98%,59.78%
ODFL,"Old Dominion Freight Line Inc.",136.65,Soft,Weak,Weakening,3.44,-2.84%,+2.13%,+3.81%,143.06%,175.73%,146.86%,47.39%
OKE,"Oneok Inc",29.38,Weak,Soft,Strengthening,4.31,unch,+7.14%,+10.96%,-45.11%,-40.32%,90.68%,-16.65%
OMC,"Omnicom Group Inc",54.57,Weak,Soft,Strengthening,3.38,+1.54%,+4.35%,+8.33%,-34.45%,-29.59%,41.92%,-2.38%
ORCL,"Oracle Corp",54.62,Soft,Soft,Strengthening,3.62,+2.56%,-1.39%,+9.18%,22.93%,26.79%,15.75%,3.22%
ORLY,"O'Reilly Automotive",373.51,Strong,Weak,Strongest,3.88,+6.28%,-3.43%,-0.25%,40.76%,62.86%,143.60%,40.66%
OTIS,"Otis Worldwide Corp [Otis/I]",46.15,N/A,N/A,N/A,3.5,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%
OXY,"Occidental Petroleum Corp",13.63,Weak,Soft,Weakening,2.45,-73.17%,+6.59%,+16.67%,-77.97%,-82.91%,-69.98%,5.60%
PAYC,"Paycom Software Inc",224.99,Soft,Weak,Weakening,3.82,+15.52%,+9.84%,-7.87%,279.54%,583.65%,"1,488.89%",388.75%
PAYX,"Paychex Inc",67.5,Soft,Weak,Strongest,2.67,+2.94%,+2.90%,-3.08%,14.14%,37.11%,66.08%,49.77%
PBCT,"People's United Finl",11.48,Weak,Soft,Strongest,3.18,+3.03%,unch,unch,-34.74%,-24.22%,69.51%,67.38%
