Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,delta for current price from 52W Low,delta for current price from 52W High
ES,75.99,-10.47,4.09,3.45,24.25,54.87%,10.13%,Utilities,25321346000.00,25.32,2.27,60.69,3/23/2020,99.42,83.65,20.13,23.57
PFE,31.75,-1.67,2,2.95,11.07,-7.90%,4.32%,Medical,181074944000.00,181.07,1.52,27.88,3/23/2020,44.56,32.67,12.19,28.75
PFG,27.4,-16.99,-5.19,5.59,5.94,-37.67%,54.83%,Finance,8608722000.00,8.61,2.24,23.31,3/23/2020,60.81,33.21,14.93,54.94
ITW,137.27,-30.51,-6.26,7.73,18.42,45.70%,-2.59%,Industrial Products,45316952000.00,45.32,4.28,115.94,3/23/2020,190.85,142.35,15.54,28.07
PGR,72.36,-0.8,2.41,6.72,11.34,174.50%,101.24%,Finance,43215156000.00,43.22,0.4,62.18,3/23/2020,84.96,76.18,14.07,14.83
PHM,20.8,-19.4,-3.42,3.6,6.6,0.00%,75.41%,Construction,6025842000.00,6.03,0.48,17.12,3/23/2020,47.37,23.76,17.69,56.09
PKG,83.9,-6.72,4.07,7.65,11.86,10.26%,18.99%,Industrial Products,8235825000.00,8.24,3.16,71.05,3/12/2020,114.78,90.76,15.32,26.90
PKI,70.83,-15.61,-4.17,4.1,18.66,46.06%,28.90%,Computers and Technology,8378965000.00,8.38,0.28,62.91,3/23/2020,103,76.51,11.18,31.23
PLD,73.26,-11.02,1.07,2.47,25.04,89.15%,89.15%,Finance,59400668000.00,59.40,2.32,59.82,3/23/2020,99.79,82.88,18.35,26.59
RTN,122.43,-66.13,-22.35,11.93,11.84,19.27%,27.82%,Aerospace,36517536000.00,36.52,3.77,103,3/18/2020,233.48,141.21,15.87,47.56
PNC,87.35,-39.05,-4.7,11.4,8.86,2.40%,32.82%,Finance,41037748000.00,41.04,4.6,79.41,3/23/2020,161.79,100.97,9.09,46.01
PNR,27.36,-12.03,-1.65,2.38,12.45,-52.51%,-57.99%,Industrial Products,4988818000.00,4.99,0.76,22.01,3/23/2020,47.43,29.63,19.55,42.31
PNW,70.84,-18.65,-1.82,4.78,16.39,18.83%,-0.58%,Utilities,8521752000.00,8.52,3.13,60.05,3/18/2020,105.51,78.36,15.23,32.86
PPG,79.89,-24.56,-5.82,6.21,13.84,-27.15%,-1.39%,Basic Materials,19722076000.00,19.72,2.04,69.77,3/19/2020,134.36,85.92,12.67,40.54
PPL,22.9,-7.11,0.67,2.46,10.5,-27.52%,-32.44%,Utilities,18949650000.00,18.95,1.66,18.12,3/23/2020,36.83,25.83,20.87,37.82
PRGO,45.11,-5.58,0.36,4.03,12.11,-75.78%,5.07%,Medical,6546347000.00,6.55,0.9,40.17,3/12/2020,63.86,48.81,10.95,29.36
PRU,47,-28.45,-4.61,11.69,4.6,-35.10%,19.78%,Finance,20649734000.00,20.65,4.4,38.62,3/23/2020,106.39,53.75,17.83,55.82
PSA,196.62,-12.5,20.08,7.29,18.79,2.54%,29.67%,Finance,34708684000.00,34.71,8,155.37,3/23/2020,266.76,201.63,20.98,26.29
PSX,49.51,-25.35,-0.99,8.07,6.71,-31.52%,-33.45%,Oils-Energy,23576280000.00,23.58,3.6,40.04,3/18/2020,119.92,54.16,19.13,58.71
PVH,32.63,-41.48,-4.83,9.5,4.02,-65.90%,17.96%,Consumer Staples,2746139000.00,2.75,0.15,28.4,3/23/2020,134.24,38.22,12.96,75.69
PWR,30.79,-7.34,0.38,3.06,9.97,10.87%,54.27%,Industrial Products,4521811000.00,4.52,0.2,23.77,3/23/2020,44.09,30.51,22.80,30.17
PYPL,91.38,-16.61,-4.33,2.35,41.29,0.00%,121.46%,Computers and Technology,112298808000.00,112.30,0,82.07,3/23/2020,124.45,97.03,10.19,26.57
K,61.09,0.62,4.92,3.94,15.46,-8.73%,-6.87%,Consumer Staples,20546516000.00,20.55,2.28,51.34,5/31/2019,71.05,60.91,15.96,14.02
QRVO,74.58,-26,-3.16,5.39,15.12,9.58%,169.14%,Computers and Technology,9327680000.00,9.33,0,58.52,5/23/2019,122.37,81.48,21.53,39.05
RCL,25.77,-54.64,-16.64,9.54,3.12,-60.40%,35.63%,Consumer Discretionary,6723530000.00,6.72,3.12,19.25,3/18/2020,135.32,29.77,25.30,80.96
RE,181.24,-66.64,6.41,21.35,9.3,6.92%,42.15%,Finance,7853235000.00,7.85,6.2,168.16,3/23/2020,294.31,198.49,7.22,38.42
REG,35.53,-21.9,-5.71,1.46,10.19,-42.08%,110.66%,Finance,6445326000.00,6.45,2.38,32.84,3/23/2020,70.26,39.95,7.57,49.43
REGN,496.65,52.08,66.87,21.46,22.04,5.83%,178.89%,Medical,53720684000.00,53.72,0,271.37,9/27/2019,518,473,45.36,4.12
RF,8.3,-5.22,-0.43,1.55,6.13,-6.47%,24.88%,Finance,8587816000.00,8.59,0.62,6.94,3/19/2020,17.54,9.5,16.39,52.68
