Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,delta for current price from 52W Low,delta for current price from 52W High
ULTA,161.5,-95.59,-30.38,11.92,15.08,15.84%,128.24%,Retail-Wholesale,10043186000.00,10.04,0,124.05,3/18/2020,368.83,179.71,23.19,56.21
UNH,237.32,-17.64,2.83,15.11,16.63,109.56%,85.60%,Medical,236555136000.00,236.56,4.32,187.72,3/23/2020,306.71,251.28,20.90,22.62
UNM,13.1,-10.21,-1.53,5.44,2.93,-55.70%,14.17%,Finance,3046595000.00,3.05,1.14,9.58,3/23/2020,38,15.94,26.87,65.53
ED,77.61,-1.21,6.68,4.36,18.52,28.16%,-2.67%,Utilities,26034450000.00,26.03,3.06,62.03,3/23/2020,95.1,80.73,20.07,18.39
AWK,112.8,-10.86,2.35,3.61,35.1,120.67%,19.88%,Utilities,21637372000.00,21.64,2,92,3/23/2020,141.7,126.72,18.44,20.40
URI,95.98,-36.5,2.79,19.61,4.85,7.23%,64.49%,Construction,7622627000.00,7.62,0,58.85,3/18/2020,170.04,95.16,38.69,43.55
USB,31.93,-14.51,-0.1,4.32,8.3,-21.26%,27.73%,Finance,52407444000.00,52.41,1.68,28.59,3/23/2020,61.11,35.87,10.46,47.75
WEC,83.52,-8.81,2.78,3.58,25.67,77.50%,50.55%,Utilities,27799286000.00,27.80,2.53,68.01,3/23/2020,109.53,91.89,18.57,23.75
V,153.11,-28.61,-8.63,5.61,29.51,142.87%,80.89%,Business Services,316198944000.00,316.20,1.2,133.93,3/23/2020,214.17,165.57,12.53,28.51
VAR,94.44,-28.53,-10.41,4.74,21.88,8.76%,5.75%,Medical,9307772000.00,9.31,0,89.62,3/23/2020,150.06,103.72,5.10,37.07
VFC,48.68,-23.32,-9.37,3.39,17.63,-28.45%,12.75%,Consumer Staples,21346458000.00,21.35,1.92,45.07,3/23/2020,100.25,59.75,7.42,51.44
VIAC,12.78,-11.83,-1.96,4.45,3.17,-77.26%,101.45%,Consumer Discretionary,8598484000.00,8.60,0.96,10.1,3/18/2020,53.71,14.09,20.97,76.21
VMC,107.12,-13.14,11.38,4.7,21.67,29.67%,64.62%,Construction,14325218000.00,14.33,1.36,65.56,3/18/2020,152.49,101.86,38.80,29.75
VNO,33.66,-19.92,-0.89,1.23,10.8,-57.86%,-26.98%,Finance,6915603000.00,6.92,2.64,27.64,3/23/2020,70.45,37.6,17.88,52.22
VRSK,140.78,-14.33,6.48,4.38,33.53,91.30%,49.26%,Business Services,22729534000.00,22.73,1.08,116.61,3/23/2020,171.73,146.87,17.17,18.02
VRSN,175.46,-14.29,8.49,5.01,37.63,165.82%,21.93%,Computers and Technology,20965716000.00,20.97,0,148.77,3/23/2020,221.78,188.55,15.21,20.89
VRTX,225.48,1.45,15.39,4.25,54.57,85.22%,617.21%,Medical,61693060000.00,61.69,0,163.68,4/18/2019,249.85,231.92,27.41,9.75
VTR,22.95,-30.82,-5.45,1.19,7.48,-63.81%,25.91%,Finance,9992647000.00,9.99,3.17,13.35,3/18/2020,75.4,28.79,41.83,69.56
WAB,46.12,-22.58,-0.58,4.19,11.75,-49.76%,169.34%,Transportation,9227050000.00,9.23,0.48,35.07,3/18/2020,81.75,49.22,23.96,43.58
WAT,182.31,-12.58,5.51,9.07,20.74,44.75%,20.97%,Computers and Technology,11315864000.00,11.32,0,154.39,3/23/2020,254.96,188.14,15.31,28.49
WBA,43.03,-2.73,1.59,5.91,7.64,-50.28%,79.16%,Retail-Wholesale,40528188000.00,40.53,1.83,40.52,3/12/2020,64.5,45.16,5.83,33.29
WDC,38.67,-16.89,-2.96,0.33,131.85,-56.60%,9.51%,Computers and Technology,12441550000.00,12.44,2,27.4,3/19/2020,72,43.51,29.14,46.29
NSC,140.01,-42.34,-0.39,10.34,14.34,37.28%,-2.82%,Transportation,40504048000.00,40.50,3.76,112.62,3/23/2020,219.88,148.29,19.56,36.32
WELL,40.6,-34.22,-5.56,3.23,11.31,-39.91%,53.17%,Finance,18795254000.00,18.80,3.48,24.27,3/18/2020,93.17,47.18,40.22,56.42
WFC,26.57,-14.28,-2.4,4.35,6.88,-47.16%,17.59%,Finance,117365728000.00,117.37,2.04,25.1,3/23/2020,54.75,29.92,5.53,51.47
WHR,80.6,-47.26,-1.79,16,5.48,-56.15%,2.75%,Consumer Discretionary,5377773000.00,5.38,4.8,64,3/23/2020,163.64,87.71,20.60,50.75
WLTW,156.19,-33.06,-7.57,10.97,15.77,26.61%,137.74%,Finance,21862922000.00,21.86,2.72,143.34,3/23/2020,220.97,172.95,8.23,29.32
DUK,77.57,-14.13,2.86,5.06,16.49,3.91%,4.82%,Utilities,59311084000.00,59.31,3.78,62.13,3/23/2020,103.79,83.46,19.90,25.26
WMB,13.33,-5.72,-0.06,0.98,14.1,-72.19%,7.39%,Oils-Energy,17165704000.00,17.17,1.6,8.41,3/19/2020,29.55,13.82,36.91,54.89
LLY,136.42,10.29,14.48,6.04,22.92,87.66%,13.78%,Medical,132760312000.00,132.76,2.96,101.36,10/23/2019,147.87,138.44,25.70,7.74
WRB,50.24,-16.9,2.72,3.32,16.42,55.24%,10.85%,Finance,9569125000.00,9.57,0.44,43.05,3/23/2020,79.92,54.51,14.31,37.14
WRK,26.71,-6.54,0.36,3.73,7.77,0.00%,224.79%,Basic Materials,7303967000.00,7.30,1.86,21.5,3/16/2020,44.39,29,19.51,39.83
WU,17.6,-4.79,-1.64,1.71,11.06,-12.08%,-5.62%,Business Services,7489902000.00,7.49,0.9,17.39,4/1/2020,28.44,18.91,1.19,38.12
WY,16.12,-9.86,-1.6,0.38,44.61,-47.44%,-11.47%,Construction,12636547000.00,12.64,1.36,13.1,3/23/2020,31.58,16.95,18.73,48.96
WYNN,54,-53.98,-21.06,2.6,23.5,-55.75%,21.67%,Consumer Discretionary,6471388000.00,6.47,4,35.84,3/18/2020,153.41,61.1,33.63,64.80
XEL,58.08,-4.24,2.53,2.64,23.7,73.93%,-1.34%,Utilities,31637540000.00,31.64,1.72,46.58,3/23/2020,72.14,62.56,19.80,19.49
XLNX,76.69,-6.8,1.67,3.53,22.48,77.82%,28.39%,Computers and Technology,19394356000.00,19.39,1.48,67.68,3/12/2020,141.6,79.35,11.75,45.84
XOM,37.53,-13.91,0.24,2.37,15.82,-55.62%,-35.69%,Oils-Energy,160696288000.00,160.70,3.48,30.11,3/23/2020,83.49,37.5,19.77,55.05
XRAY,37.31,-11.93,2.31,2.45,16,-24.89%,37.86%,Medical,8598477000.00,8.60,0.4,31.58,3/23/2020,60.87,39.2,15.36,38.71
XRX,17.6,-14.6,-1.02,4.31,4.16,-45.79%,-53.60%,Industrial Products,4030224000.00,4.03,1,15.01,3/19/2020,39.47,17.95,14.72,55.41
XYL,59.77,-17.57,-4.09,3.02,21.93,85.03%,34.04%,Industrial Products,11737924000.00,11.74,1.04,54.62,3/23/2020,89.34,66.24,8.62,33.10
YUM,67.65,-21.6,-5.22,3.55,19.91,19.04%,-57.85%,Retail-Wholesale,20615330000.00,20.62,1.88,54.95,3/23/2020,119.72,70.67,18.77,43.49
ZBH,89.63,-46.52,-7.2,7.87,12.49,-13.94%,70.80%,Medical,20863318000.00,20.86,0.96,74.37,3/18/2020,161.11,98.28,17.03,44.37
ZBRA,176.46,-34.51,-9.77,12.07,15.6,92.33%,168.47%,Industrial Products,9915868000.00,9.92,0,150.06,3/16/2020,260.4,188.35,14.96,32.24
ZION,25.32,-14.63,-0.53,4.34,6.34,-2.09%,37.41%,Finance,4388988000.00,4.39,1.36,23.58,3/23/2020,52.48,27.52,6.87,51.75
ZTS,111.92,-21.31,3.71,3.64,32.05,149.50%,30.83%,Medical,55894984000.00,55.89,0.8,90.14,3/23/2020,146.26,116.68,19.46,23.48
Downloaded from Barchart.com as of 04-01-2020 07:25pm CDT,,,,,,,,,,,,,,,,,
