Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",72.29,3.37,+4.89%,72.45,68.14,1840311,04/02/20
AAL,"American Airlines Gp",10.06,-0.63,-5.89%,11.03,10,64873602,04/02/20
AAP,"Advance Auto Parts Inc",88.41,-0.76000000000001,-0.85%,89.89,81.93,3036873,04/02/20
AAPL,"Apple Inc",244.93,4.02,+1.67%,245.15,236.9,41389098,04/02/20
ABBV,"Abbvie Inc",75.13,1.71,+2.33%,75.5,71.46,8077758,04/02/20
ABC,"Amerisourcebergen Corp",83.89,-2.34,-2.71%,86.53,80,2570489,04/02/20
ABMD,"Abiomed Inc",143.28,-1.2,-0.83%,147.46,140.38,481100,04/02/20
ABT,"Abbott Laboratories",79.44,2.87,+3.75%,79.66,76,10167804,04/02/20
ACN,"Accenture Plc",156.27,1.59,+1.03%,160.5,153.55,3030044,04/02/20
ADBE,"Adobe Systems Inc",303.96,2.75,+0.91%,306.5,293.18,3589500,04/02/20
ADI,"Analog Devices",87.7,3.61,+4.29%,88.27,82.9,3638200,04/02/20
ADM,"Archer Daniels Midland",34.33,0.46,+1.36%,35.2,33.54,3022752,04/02/20
ADP,"Automatic Data Procs",131.55,1.83,+1.41%,132.61,127.43,3808100,04/02/20
ADS,"Alliance Data Systems Corp",28.29,-2.75,-8.86%,31.59,26.56,2273672,04/02/20
ADSK,"Autodesk Inc",137.05,-2.17,-1.56%,142.14,135.52,2729500,04/02/20
AEE,"Ameren Corp",71.67,3.94,+5.82%,72.31,66.76,2064956,04/02/20
AEP,"American Electric Power Company",76.79,2.22,+2.98%,77.58,72.39,4959867,04/02/20
AES,"The Aes Corp",13.04,0.24,+1.87%,13.57,12.48,6683706,04/02/20
AFL,"Aflac Incorporated",31.83,-0.07,-0.22%,33.12,31.1,4892733,04/02/20
AGN,"Allergan Plc",177.54,2.64,+1.51%,178.62,173.34,2868147,04/02/20
AIG,"American International Group",21.25,-0.36,-1.67%,22.83,21.08,9317762,04/02/20
AIV,"Apartment Investment and Management",31.22,-1.1,-3.40%,33.66,30.4,2135278,04/02/20
AIZ,"Assurant Inc",100.06,-2.06,-2.02%,104.96,98.81,609485,04/02/20
AJG,"Arthur J. Gallagher & Company",78.76,1.76,+2.29%,79.06,75.57,1651550,04/02/20
AKAM,"Akamai Technologies",93.12,1.52,+1.66%,95.96,90.75,2028100,04/02/20
ALB,"Albemarle Corp",53.66,-1.18,-2.15%,59.01,52.95,1911448,04/02/20
ALGN,"Align Technology",152.07,-5.13,-3.26%,160.7,150.38,1316300,04/02/20
