Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ALK,"Alaska Air Group",24.66,-1.69,-6.41%,27.02,24.28,3065198,04/02/20
ALL,"Allstate Corp",85.79,-0.61,-0.71%,89.73,84.04,2579951,04/02/20
ALLE,"Allegion Plc",84.42,-0.17,-0.20%,87,82.62,1059235,04/02/20
ALXN,"Alexion Pharm Inc",90.35,0.42,+0.47%,90.69,87.56,2325700,04/02/20
AMAT,"Applied Materials",43.24,-0.06,-0.14%,44.46,42.13,8763101,04/02/20
AMCR,"Amcor Plc",8.18,0.32,+4.07%,8.4,8.02,10753775,04/02/20
AMD,"Adv Micro Devices",44.49,0.83,+1.90%,45.28,43.1,78864703,04/02/20
AME,"Amtek Inc",71.09,1.28,+1.83%,71.68,68.61,1765482,04/02/20
AMGN,"Amgen Inc",208.88,11.07,+5.60%,209.53,194.21,3867300,04/02/20
AMP,"Ameriprise Financial Services",94.05,-0.26000000000001,-0.28%,100.43,91.99,922510,04/02/20
AMT,"American Tower Corp",220.75,13.78,+6.66%,221.09,205.59,3993438,04/02/20
AMZN,"Amazon.com Inc",1918.83,11.13,+0.58%,1927.53,1890,4328500,04/02/20
ANET,"Arista Networks Inc",194.1,1.33,+0.69%,198.13,189.06,663528,04/02/20
ANSS,"Ansys Inc",216.2,4.95,+2.34%,218,207.79,673600,04/02/20
ANTM,"Anthem Inc",211.39,-2.91,-1.36%,219.5,203.99,2625614,04/02/20
AON,"AON Plc",157.26,3.58,+2.33%,159.57,152,1524401,04/02/20
AOS,"Smith [A.O.] Corp",35.94,0.33,+0.93%,37.07,35.18,2000486,04/02/20
APA,"Apache Corp",4.69,0.67,+16.67%,5.3,4.31,53257962,04/02/20
APD,"Air Products and Chemicals",194.5,5.22,+2.76%,199.24,186.45,1963496,04/02/20
APH,"Amphenol Corp",68.76,-0.75999999999999,-1.09%,70.53,67.46,4304816,04/02/20
APTV,"Aptiv Plc",45.59,-0.33,-0.72%,48.79,44.25,2460840,04/02/20
ARE,"Alexandria Real Estate Equities",131.38,0.13999999999999,+0.11%,132.43,127.42,1229421,04/02/20
ATO,"Atmos Energy Corp",97.37,2.73,+2.88%,98.58,93.52,565396,04/02/20
ATVI,"Activision Blizzard",60.78,3.28,+5.70%,61.09,58.01,8031300,04/02/20
AVB,"Avalonbay Communities",135.34,-2.68,-1.94%,142.09,131.93,1555335,04/02/20
AVGO,"Broadcom Ltd",237.06,13.43,+6.01%,237.95,221.45,4500800,04/02/20
AVY,"Avery Dennison Corp",95.9,-0.030000000000001,-0.03%,100.83,93.99,794649,04/02/20
AWK,"American Water Works",117.64,4.84,+4.29%,118.45,110.95,945140,04/02/20
AXP,"American Express Company",76.66,-0.75,-0.97%,79.12,75.83,8338115,04/02/20
AZO,Autozone,794.65,17.79,+2.29%,797.13,757.18,358047,04/02/20
BA,"Boeing Company",123.27,-7.43,-5.68%,136.68,120.02,42372366,04/02/20
BAC,"Bank of America Corp",20.57,0.8,+4.05%,20.79,19.59,70007375,04/02/20
BAX,"Baxter International Inc",82.22,3.56,+4.53%,82.36,77.98,3161139,04/02/20
BBY,"Best Buy Company",52.76,-1.14,-2.12%,55.06,51.71,3455448,04/02/20
BDX,"Becton Dickinson and Company",233.28,7.88,+3.50%,233.61,224.42,1557462,04/02/20
BEN,"Franklin Resources",16.06,0.2,+1.26%,16.75,15.76,5109461,04/02/20
BF.B,"Brown Forman Inc Cl B",54.64,1.17,+2.19%,55.59,52.27,1425647,04/02/20
BIIB,"Biogen Inc",304.47,11.2,+3.82%,307.15,290,3286500,04/02/20
BK,"Bank of New York Mellon Corp",33.64,0.94,+2.87%,33.94,32.07,6709735,04/02/20
BKNG,"Booking Holdings Inc",1260,-11.63,-0.91%,1334.99,1241.22,573700,04/02/20
BKR,"Baker Hughes A Ge Co. Cl A",10.36,0.56,+5.71%,11.21,9.9,8703719,04/02/20
BLK,Blackrock,426.53,16.99,+4.15%,433.87,406.19,649308,04/02/20
BLL,"Ball Corp",64.56,0.39,+0.61%,66.88,63.73,3559831,04/02/20
BMY,"Bristol-Myers Squibb Company",55.21,0.84,+1.54%,55.32,53.58,12929443,04/02/20
BR,"Broadridge Financial Solutions Llc",92.1,0.78,+0.85%,93.94,90.38,784044,04/02/20
BRK.B,"Berkshire Hathaway Cl B",179.73,3.78,+2.15%,180.31,174.23,7276307,04/02/20
BSX,"Boston Scientific Corp",31.05,0.86,+2.85%,31.46,29.65,12401928,04/02/20
BWA,"Borgwarner Inc",22.28,-0.38,-1.68%,23.49,21.8,4104256,04/02/20
BXP,"Boston Properties",82.69,-2.56,-3.00%,87.47,79.91,1901976,04/02/20
C,"Citigroup Inc",39.23,0.72,+1.87%,39.66,37.3,29532122,04/02/20
CAG,"Conagra Brands Inc",29.93,0.17,+0.57%,30.41,29.05,3777546,04/02/20
CAH,"Cardinal Health",46.42,-1.29,-2.70%,47.55,44.58,3265590,04/02/20
CAT,"Caterpillar Inc",116.74,5.39,+4.84%,118.52,111.13,8106462,04/02/20
CB,"Chubb Ltd",105.93,1.76,+1.69%,108.38,103.42,2256586,04/02/20
CBOE,"CBOE Global Markets Inc",92.37,4.19,+4.75%,92.88,85.74,1029600,04/02/20
CBRE,"CBRE Group Inc",36.67,0.93,+2.60%,37.53,35.05,3970754,04/02/20
CCI,"Crown Castle International Corp",146.37,8.78,+6.38%,146.97,136.06,3240044,04/02/20
CCL,"Carnival Corp",7.97,-0.83,-9.43%,8.53,7.8,262060950,04/02/20
CDNS,"Cadence Design Sys",65.93,0.69,+1.06%,67.07,63.92,2959000,04/02/20
CDW,"CDW Corp",87.97,-0.86,-0.97%,89.29,85.78,1439800,04/02/20
CE,"Celanese Corp",68.6,0.55,+0.81%,72.21,66.53,1593668,04/02/20
CERN,"Cerner Corp",61.96,1.25,+2.06%,63.25,59.6,1624300,04/02/20
CF,"Cf Industries Holdings",25.7,-0.15,-0.58%,28.2,25.26,3539588,04/02/20
CFG,"Citizens Financial Group Inc/Ri",17.42,0.12,+0.69%,18.34,16.91,7065605,04/02/20
CHD,"Church & Dwight Company",66.27,2.47,+3.87%,66.74,63.08,2273898,04/02/20
CHRW,"C.H. Robinson Ww",68.92,2.35,+3.53%,69.56,65.79,2834400,04/02/20
CHTR,"Charter Communicatio",435.66,11.63,+2.74%,436.88,418.01,1377200,04/02/20
CI,"Cigna Corp",168.81,-4.26,-2.46%,172.93,164.29,2501590,04/02/20
CINF,"Cincinnati Financial",72.92,-0.65,-0.88%,76.25,71.48,976100,04/02/20
CL,"Colgate-Palmolive Company",68.17,2.62,+4.00%,68.69,64.71,5676716,04/02/20
CLX,"Clorox Company",179.7,5.04,+2.89%,182.29,173.79,3044501,04/02/20
CMA,"Comerica Inc",27.79,0.62,+2.28%,29.33,26.69,3655791,04/02/20
CMCSA,"Comcast Corp A",34.37,1.95,+6.01%,34.47,32.06,24683301,04/02/20
CME,"CME Group Inc",168.57,2.37,+1.43%,169.48,162.81,2335200,04/02/20
CMG,"Chipotle Mexican Grill",630.16,10.8,+1.74%,634.69,601.01,633909,04/02/20
CMI,"Cummins Inc",132.76,2.37,+1.82%,134.23,127.61,1325720,04/02/20
CMS,"Cms Energy Corp",56.86,1.15,+2.06%,57.67,54.72,3684822,04/02/20
CNC,"Centene Corp",56.36,0.24,+0.43%,57.46,54.02,2980924,04/02/20
CNP,"Centerpoint Energy Inc",14.13,0.010000000000002,+0.07%,14.7,13.58,18760792,04/02/20
COF,"Capital One Financial Corp",43.93,-0.75,-1.68%,45.86,43.08,5459501,04/02/20
COG,"Cabot Oil & Gas Corp",16.7,0.059999999999999,+0.36%,17.85,15.43,14925109,04/02/20
COO,"Cooper Companies",283.83,10.78,+3.95%,284.34,269.8,308977,04/02/20
COP,Conocophillips,33.86,4.24,+14.31%,35.42,30.71,14693162,04/02/20
COST,"Costco Wholesale",291.48,4.7,+1.64%,292.78,282.82,3419600,04/02/20
COTY,"Coty Inc",4.46,0,0.00%,5.22,4.27,9251266,04/02/20
CPB,"Campbell Soup Company",47.45,1.47,+3.20%,47.54,45.44,2250392,04/02/20
CPRI,"Capri Holdings Ltd",8.13,-0.78,-8.75%,9.18,7.75,7929673,04/02/20
CPRT,"Copart Inc",64.41,-0.38,-0.59%,66.25,63,2315400,04/02/20
CRM,"Salesforce.com Inc",134.32,0.25999999999999,+0.19%,135.39,130.04,8150530,04/02/20
CSCO,"Cisco Systems Inc",39.8,1.47,+3.84%,39.94,37.47,28171500,04/02/20
CSX,"CSX Corp",56.86,2.01,+3.66%,57.12,53.63,5459100,04/02/20
CTAS,"Cintas Corp",165.19,2.5,+1.54%,167.29,158.89,1437300,04/02/20
CTL,Centurylink,8.8,0.010000000000002,+0.11%,9.1,8.63,14273758,04/02/20
CTSH,"Cognizant Tech Sol",44.29,1.78,+4.19%,45,42.2,3819600,04/02/20
CTVA,"Corteva Inc",22.24,-0.27,-1.20%,23.43,21.82,6302004,04/02/20
CTXS,"Citrix Systems Inc",142.52,3.38,+2.43%,145.43,137.39,2950400,04/02/20
CVS,"CVS Corp",55.41,-2.93,-5.02%,56.98,54.07,16796262,04/02/20
CVX,"Chevron Corp",76.12,7.56,+11.03%,78.7,69.57,23220625,04/02/20
CXO,"Concho Resources Inc",46.68,5.04,+12.10%,51.03,43.3,3051327,04/02/20
D,"Dominion Resources",71.06,1.13,+1.62%,72.58,68.55,3533062,04/02/20
DAL,"Delta Air Lines Inc",22.68,-1.19,-4.99%,24.65,22.51,39407437,04/02/20
DD,"Du Pont De.Nemours Inc",32.51,-0.010000000000005,-0.03%,34.35,31.89,6649071,04/02/20
DE,"Deere & Company",139.38,5.71,+4.27%,139.91,132.86,2863751,04/02/20
DFS,"Discover Financial Services",30.99,-0.54,-1.71%,32.34,30.26,5503653,04/02/20
DG,"Dollar General Corp",159.7,6.54,+4.27%,161.33,152.83,3624911,04/02/20
DGX,"Quest Diagnostics Inc",77.45,-1.32,-1.68%,79.43,75.94,2238971,04/02/20
DHI,"D.R. Horton",32.6,-0.079999999999998,-0.24%,33.81,31.63,6868584,04/02/20
DHR,"Danaher Corp",136.43,7.73,+6.01%,136.63,127.7,5152894,04/02/20
DIS,"Walt Disney Company",96.97,2.05,+2.16%,97.25,94.2,13936517,04/02/20
DISCA,"Discovery Comm A",18.68,-0.77,-3.98%,20.05,18.46,5788600,04/02/20
DISCK,"Discovery Comm Inc",17.07,-0.57,-3.23%,18.22,16.79,3853300,04/02/20
DISH,"Dish Network Corp",18.96,0.26,+1.39%,19.59,18.18,3260400,04/02/20
DLR,"Digital Realty Trust",135.01,0.53,+0.39%,136.28,131.06,2551528,04/02/20
DLTR,"Dollar Tree Inc",70.46,-2.48,-3.40%,72.94,68.81,4696500,04/02/20
DOV,"Dover Corp",80.6,0.61999999999999,+0.78%,82.24,78.01,1407771,04/02/20
DOW,"Dow Inc",28.03,0.99,+3.66%,29.84,26.93,10680336,04/02/20
DRE,"Duke Realty Corp",30.03,-0.15,-0.50%,30.76,29.5,3449244,04/02/20
DRI,"Darden Restaurants",44.31,-1.71,-3.72%,49.65,43.11,4708159,04/02/20
DTE,"Dte Energy Company",89.17,1.09,+1.24%,91.98,86.75,1636334,04/02/20
DUK,"Duke Energy Corp",79.39,1.82,+2.35%,79.96,76.24,3665871,04/02/20
DVA,"Davita Healthcare Partners Inc",70.3,-2.3,-3.17%,74.17,68.76,1896927,04/02/20
DVN,"Devon Energy Corp",7.79,1,+14.73%,9.04,7.07,24076399,04/02/20
DXC,"Dxc Technology Company",12.49,0.53,+4.43%,13.09,11.6,6126532,04/02/20
EA,"Electronic Arts Inc",102.29,4.76,+4.88%,102.82,97.5,3792400,04/02/20
EBAY,"Ebay Inc",29.19,0.41,+1.42%,29.41,28.3,12007101,04/02/20
ECL,"Ecolab Inc",152.16,5.46,+3.72%,152.97,145.77,2486450,04/02/20
ED,"Consolidated Edison Company of New York",78.93,1.32,+1.70%,79.63,76,3021824,04/02/20
EFX,"Equifax Inc",109.31,-4.16,-3.67%,114.24,107.04,1164768,04/02/20
EIX,"Edison International",51.53,0.26,+0.51%,53.2,50.01,2032439,04/02/20
EL,"Estee Lauder Companies",149.21,-4.17,-2.72%,155.12,147.34,1889076,04/02/20
EMN,"Eastman Chemical Company",45.38,-0.13,-0.29%,48.13,44.81,2044958,04/02/20
EMR,"Emerson Electric Company",47.73,2.03,+4.44%,48.64,45.44,5714118,04/02/20
EOG,"Eog Resources",38.3,3.7,+10.69%,43.45,36.29,12693966,04/02/20
EQIX,"Equinix Inc",626.15,30.69,+5.15%,629.04,590.7,801500,04/02/20
EQR,"Equity Residential",54.57,-3.13,-5.42%,58.06,53.24,3175690,04/02/20
ES,"Eversource Energy",79.29,3.3,+4.34%,79.89,74.53,3084235,04/02/20
ESS,"Essex Property Trust",194.47,-5.85,-2.92%,202.93,189.34,707890,04/02/20
ETFC,"E*Trade Finl Corp",34.25,2.27,+7.10%,34.36,31.5,5112600,04/02/20
ETN,"Eaton Corp",73.59,0.45,+0.62%,75.09,71.58,3162497,04/02/20
ETR,"Entergy Corp",88.2,2.62,+3.06%,89.64,82.81,2064958,04/02/20
EVRG,"Evergy Inc",53.48,1.73,+3.34%,54.22,50.64,2438338,04/02/20
EW,"Edwards Lifesciences Corp",184.86,12.23,+7.08%,185.32,170.99,1528793,04/02/20
EXC,"Exelon Corp",34.68,1.2,+3.58%,35.29,32.96,4312100,04/02/20
EXPD,"Expeditors Intl",67.7,2.22,+3.39%,67.96,65.32,2073600,04/02/20
EXPE,"Expedia Group Inc",47.86,-4.14,-7.96%,54.49,46.8,4983400,04/02/20
EXR,"Extra Space Storage Inc",95.96,1.96,+2.09%,96.96,91.14,2234865,04/02/20
F,"Ford Motor Company",4.36,-0.04,-0.91%,4.57,4.25,90891681,04/02/20
FANG,"Diamondback Energy",29.05,3.98,+15.88%,33.18,26.44,10432700,04/02/20
FAST,"Fastenal Company",30.65,0.04,+0.13%,31.31,30.17,7237500,04/02/20
FB,"Facebook Inc",158.19,-1.41,-0.88%,161.35,155.92,20859900,04/02/20
FBHS,"Fortune Brands Home & Security",38.46,-0.92,-2.34%,40.12,37.19,1975302,04/02/20
FCX,"Freeport-Mcmoran Inc",6.39,0.08,+1.27%,6.74,6.14,32168858,04/02/20
FDX,"Fedex Corp",116.64,3.16,+2.78%,117.3,111.59,2336099,04/02/20
FE,"Firstenergy Corp",40,1.14,+2.93%,40.52,38.23,4823647,04/02/20
FFIV,"F5 Networks Inc",107.12,3.39,+3.27%,108.27,102.9,930800,04/02/20
FIS,"Fidelity National Information Services",117.11,2.55,+2.23%,118.45,112.47,3565661,04/02/20
FISV,"Fiserv Inc",88.75,0.74,+0.84%,89.41,85,3913600,04/02/20
FITB,"Fifth Third Bncp",14.28,0.82,+6.13%,14.6,13.2,8708000,04/02/20
FLIR,"Flir Systems Inc",32.59,1.91,+6.23%,33.16,30.13,1790100,04/02/20
FLS,"Flowserve Corp",24.1,0.96,+4.15%,25.21,23.1,2860492,04/02/20
FLT,"Fleetcor Technologies",181.52,8.3,+4.79%,197.62,170,1595361,04/02/20
FMC,"FMC Corp",74.18,-2.79,-3.62%,80.63,73.39,1591000,04/02/20
FOX,"Fox Corp Cl B",21.84,0.27,+1.28%,22.71,21.22,2515500,04/02/20
FOXA,"Fox Corp Cl A",22.67,0.33,+1.48%,23.5,22,4944600,04/02/20
FRC,"First Republic Bank",83.96,2.3,+2.82%,84.74,80.6,2242387,04/02/20
FRT,"Federal Realty Investment Trust",66.4,-3.01,-4.34%,70.74,64.81,1052031,04/02/20
FTI,"Technipfmc Plc",7.52,0.96,+14.63%,7.91,6.76,6099972,04/02/20
FTNT,"Fortinet Inc",100.92,0.45,+0.45%,102.02,98.79,3458500,04/02/20
FTV,"Fortive Corp",56,1.03,+1.87%,56.48,54.34,2357890,04/02/20
GD,"General Dynamics Corp",127.92,0.52,+0.41%,130.26,124.9,1426521,04/02/20
GE,"General Electric Company",6.9,-0.14,-1.99%,7.39,6.77,97498419,04/02/20
GILD,"Gilead Sciences Inc",76.98,4.47,+6.16%,77.48,71.38,20463900,04/02/20
GIS,"General Mills",54.88,1.76,+3.31%,55.02,52.5,4961555,04/02/20
GL,"Globe Life Inc",66.96,1.13,+1.72%,67.84,64.91,768738,04/02/20
GLW,"Corning Inc",18.7,-0.41,-2.15%,19.44,18.49,7654478,04/02/20
GM,"General Motors Company",18.19,-1.07,-5.56%,19.69,17.79,17920650,04/02/20
GOOG,"Alphabet Cl C",1120.84,15.22,+1.38%,1126.86,1096.4,1963200,04/02/20
GOOGL,"Alphabet Cl A",1117.03,14.93,+1.35%,1122.77,1093.13,2818900,04/02/20
GPC,"Genuine Parts Company",61.4,-1.34,-2.14%,64.74,59.5,1392483,04/02/20
GPN,"Global Payments Inc",130.69,-2.42,-1.82%,135.56,127.3,2833451,04/02/20
GPS,"Gap Inc",5.5,-0.39,-6.62%,6.14,5.26,17446023,04/02/20
GRMN,"Garmin Ltd",73.46,2.05,+2.87%,73.66,70.63,1345800,04/02/20
GS,"Goldman Sachs Group",149.93,4.64,+3.19%,150.45,141.67,4446912,04/02/20
GWW,"W.W. Grainger",239.69,3.17,+1.34%,244.75,233.89,460354,04/02/20
HAL,"Halliburton Company",7.52,0.92,+13.94%,8.2,6.76,51270930,04/02/20
HAS,"Hasbro Inc",70.43,0.35,+0.50%,71.22,68.26,1468600,04/02/20
HBAN,"Huntington Bcshs",7.37,-0.08,-1.07%,7.78,7.15,10176899,04/02/20
HBI,"Hanesbrands Inc",7.25,-0.14,-1.89%,7.74,7.06,10385333,04/02/20
HCA,"Hca Holdings Inc",83.9,0.17,+0.20%,88.84,81.75,2181115,04/02/20
HD,"Home Depot",181.31,2.68,+1.50%,182.72,174,6353949,04/02/20
HES,"Hess Corp",35.3,3.32,+10.38%,37.5,32.15,5309190,04/02/20
HFC,"Hollyfrontier Corp",22.94,1.21,+5.57%,25.68,21.77,3243242,04/02/20
HIG,"Hartford Financial Services Group",33.27,-0.19,-0.57%,34.86,32.79,4423699,04/02/20
HII,"Huntington Ingalls Industries",180.64,7.5,+4.33%,184.03,171.42,361842,04/02/20
HLT,"Hilton Inc",57.86,-5.18,-8.22%,65.99,57,7930230,04/02/20
HOG,"Harley-Davidson Inc",16.1,-1.19,-6.88%,17.78,15.72,2872215,04/02/20
HOLX,"Hologic Inc",34.06,1.36,+4.16%,34.24,32,2577500,04/02/20
HON,"Honeywell International Inc",132.81,3.1,+2.39%,133.15,127.14,3504272,04/02/20
HP,"Helmerich & Payne",16.35,2.11,+14.82%,17.87,14.82,3617426,04/02/20
HPE,"Hewlett Packard Enterprise Comp",9.38,-0.2,-2.09%,9.89,9.1,8233687,04/02/20
HPQ,"Hp Inc",15.49,0.65,+4.38%,15.82,14.75,15832239,04/02/20
HRB,"H&R Block",12.56,-0.42,-3.24%,13.49,12.31,3142527,04/02/20
HRL,"Hormel Foods Corp",47.58,1.23,+2.65%,47.84,45.68,2842422,04/02/20
HSIC,"Henry Schein Inc",48.44,-0.13,-0.27%,50.2,47.25,2429600,04/02/20
HST,"Host Marriott Financial Trust",9.55,-0.73,-7.10%,10.47,9.38,12895887,04/02/20
HSY,"Hershey Foods Corp",135.73,4.07,+3.09%,136.49,129.79,2134822,04/02/20
HUM,"Humana Inc",300.11,1.36,+0.46%,306.94,287.9,1068727,04/02/20
HWM,"Howmet Aerospace Inc.",12.5,-0.7,-5.30%,13.71,12,4431897,04/02/20
IBM,"International Business Machines",110,4.86,+4.62%,110.32,105.14,6328674,04/02/20
ICE,"Intercontinental Exchange",81.14,1.83,+2.31%,81.39,77.17,2963175,04/02/20
IDXX,"Idexx Laboratories",239.7,9.04,+3.92%,240.76,226.02,786700,04/02/20
IEX,"Idex Corp",136.38,3.18,+2.39%,138.34,132.68,971329,04/02/20
IFF,"International Flavors & Fragrances",99.18,-1.55,-1.54%,102.58,98.32,1093972,04/02/20
ILMN,"Illumina Inc",272.99,16.53,+6.45%,273.84,254.16,1258300,04/02/20
INCY,"Incyte Corp",77.07,2.89,+3.90%,77.42,73.51,1512400,04/02/20
INFO,"IHS Markit Ltd",60.63,2.33,+4.00%,60.89,57.7,2984393,04/02/20
INTC,"Intel Corp",54.35,2.47,+4.76%,54.56,51.22,27791400,04/02/20
INTU,"Intuit Inc",225.22,7.1,+3.26%,228.34,215.55,1584400,04/02/20
IP,"International Paper Company",30.48,0.33,+1.09%,31.4,29.85,3387665,04/02/20
IPG,"Interpublic Group of Companies",14.37,-0.17,-1.17%,14.94,13.89,4603498,04/02/20
IPGP,"Ipg Photonics Corp",102.92,-2.88,-2.72%,108.46,100.92,458000,04/02/20
IQV,"Iqvia Holdings Inc",104.78,4.74,+4.74%,105.4,99.07,1708641,04/02/20
IR,"Ingersoll Rand Inc.",23.04,-0.75,-3.15%,24.69,22.59,6383199,04/02/20
IRM,"Iron Mountain Inc",21.52,-0.7,-3.15%,22.3,21,4462192,04/02/20
ISRG,"Intuitive Surg Inc",467.72,9.46,+2.06%,473.96,450,890300,04/02/20
IT,"Gartner Inc",94.1,0.80999999999999,+0.87%,94.92,90.18,1204463,04/02/20
ITW,"Illinois Tool Works Inc",141.6,4.33,+3.15%,142.48,135.85,1428766,04/02/20
IVZ,"Invesco Plc",8.22,0.21,+2.62%,8.55,7.88,7807366,04/02/20
J,"Jacobs Engineering Group Inc",81.18,1.96,+2.47%,82.45,77.9,1119213,04/02/20
JBHT,"J B Hunt Transport",90.88,0.38,+0.42%,91.39,88.03,910000,04/02/20
JCI,"Johnson Controls Intl",26.05,0.89,+3.54%,26.67,25.15,8349717,04/02/20
JKHY,"Jack Henry & Assoc",151.16,4.08,+2.77%,151.84,142.57,527300,04/02/20
JNJ,"Johnson & Johnson",133.15,4.34,+3.37%,134,127.22,11594456,04/02/20
JNPR,"Juniper Networks",19.66,0.44,+2.29%,19.71,18.52,4387913,04/02/20
JPM,"JP Morgan Chase & Company",87.51,3.15,+3.73%,87.91,82.96,24017964,04/02/20
JWN,Nordstrom,13.18,-0.11,-0.83%,14.56,12.76,6423934,04/02/20
K,"Kellogg Company",61.32,0.23,+0.38%,61.98,59.64,2147159,04/02/20
KEY,Keycorp,9.48,0.030000000000001,+0.32%,10.02,9.15,14255212,04/02/20
KEYS,"Keysight Technologies Inc Comm",83.75,2.86,+3.54%,83.88,79.4,1440326,04/02/20
KHC,"Kraft Heinz Company",24.64,0.96,+4.05%,24.79,23.36,7374700,04/02/20
KIM,"Kimco Realty Corp",7.75,-0.55,-6.63%,8.46,7.45,8732886,04/02/20
KLAC,"K L A-Tencor Corp",132.44,0.83,+0.63%,133.79,129.31,1319100,04/02/20
KMB,"Kimberly-Clark Corp",129.28,3.62,+2.88%,130.27,124.19,2494115,04/02/20
KMI,"Kinder Morgan",13.45,0.72,+5.66%,14.13,12.99,20015694,04/02/20
KMX,"Carmax Inc",50.2,-2.16,-4.13%,52.83,48.26,4688280,04/02/20
KO,"Coca-Cola Company",43.95,1.83,+4.34%,44.19,41.86,17621879,04/02/20
KR,"Kroger Company",31.6,1.1,+3.61%,31.99,29.85,18951464,04/02/20
KSS,"Kohl's Corp",11.71,-1.23,-9.51%,13.77,11.52,10388460,04/02/20
KSU,"Kansas City Southern",121,-1.13,-0.93%,122.53,116.3,1607177,04/02/20
L,"Loews Corp",33.18,0.55,+1.69%,34.61,32.15,1380129,04/02/20
LB,"L Brands Inc",10.15,-0.08,-0.78%,10.23,9.32,15479216,04/02/20
LDOS,"Leidos Holdings Inc",88.63,1.48,+1.70%,89.1,85.62,2436351,04/02/20
LEG,"Leggett & Platt Inc",24.21,-0.21,-0.86%,25.03,23.56,1602758,04/02/20
LEN,"Lennar Corp",33.42,-1.31,-3.77%,35.53,32.41,4270365,04/02/20
LH,"Laboratory Corp of America Holdings",116.01,-0.16,-0.14%,118.76,111.79,897345,04/02/20
LHX,"L3Harris Technologies Inc",183.52,6.35,+3.58%,183.96,175.22,1898486,04/02/20
LIN,"Linde Plc",164.09,3.22,+2.00%,166.74,159.41,3370005,04/02/20
LKQ,"LKQ Corp",18.51,-0.62,-3.24%,19.64,17.91,3097300,04/02/20
LLY,"Eli Lilly and Company",142.18,5.76,+4.22%,142.8,133.03,4725051,04/02/20
LMT,"Lockheed Martin Corp",353.96,15.44,+4.56%,354,334.55,1896286,04/02/20
LNC,"Lincoln National Corp",23.53,-0.32,-1.34%,25.02,22.76,3368627,04/02/20
LNT,"Alliant Energy Corp",46.92,1.95,+4.34%,47.29,43.61,1662100,04/02/20
LOW,"Lowe's Companies",82.86,2.44,+3.03%,83.27,79.25,8246667,04/02/20
LRCX,"Lam Research Corp",220.57,-2.76,-1.24%,226.36,215.92,1883200,04/02/20
LUV,"Southwest Airlines Company",31.5,-0.54,-1.69%,32.84,30.87,7853460,04/02/20
LVS,"Las Vegas Sands",40.27,-0.029999999999994,-0.07%,41.31,39.63,6400478,04/02/20
LW,"Lamb Weston Holdings Inc",49.88,-1.12,-2.20%,52.19,48.59,3217450,04/02/20
LYB,"Lyondellbasell Industries NV",45.92,0.89,+1.98%,49.14,45.06,3917671,04/02/20
LYV,"Live Nation Entertainment",33.95,-4.93,-12.68%,38.77,33.33,6102665,04/02/20
